»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	9/13/2018 - 12:20:15
Configured:	09/13/18 11:32:50 AM
Executed:	09/13/18 12:19:49 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.50
Field:	250.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	4.00e-001
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.175476	-34.451580
   2	1.0000e-003	2.433777	-34.324731
   3	1.5000e-003	4.692078	-34.222277
   4	2.0000e-003	7.553101	-34.222277
   5	2.5000e-003	9.658813	-33.953943
   6	3.0000e-003	12.222290	-33.856367
   7	3.5000e-003	14.892578	-33.661216
   8	4.0000e-003	17.333984	-33.456307
   9	4.5000e-003	19.859314	-33.295307
  10	5.0000e-003	22.636414	-33.134306
  11	5.5000e-003	25.047302	-32.919640
  12	6.0000e-003	27.252197	-32.690337
  13	6.5000e-003	29.930115	-32.490306
  14	7.0000e-003	32.615662	-32.197579
  15	7.5000e-003	34.652710	-32.041457
  16	8.0000e-003	37.132263	-31.821912
  17	8.5000e-003	39.932251	-31.519427
  18	9.0000e-003	42.358398	-31.265730
  19	9.5000e-003	45.013428	-30.992517
  20	1.0000e-002	47.286987	-30.675396
  21	1.0500e-002	49.583435	-30.450972
  22	1.1000e-002	52.108765	-30.085062
  23	1.1500e-002	54.679871	-29.728911
  24	1.2000e-002	57.319641	-29.406910
  25	1.2500e-002	59.516907	-29.045880
  26	1.3000e-002	62.263489	-28.636062
  27	1.3500e-002	64.544678	-28.177455
  28	1.4000e-002	67.329407	-27.796910
  29	1.4500e-002	69.778442	-27.250485
  30	1.5000e-002	72.189331	-26.733333
  31	1.5500e-002	74.714661	-26.191787
  32	1.6000e-002	77.186584	-25.455090
  33	1.6500e-002	79.727173	-24.776938
  34	1.7000e-002	82.206726	-23.810938
  35	1.7500e-002	84.587097	-22.927876
  36	1.8000e-002	86.936951	-21.874058
  37	1.8500e-002	89.393616	-20.693390
  38	1.9000e-002	91.880798	-19.356602
  39	1.9500e-002	93.490601	-18.014934
  40	2.0000e-002	96.786499	-16.356146
  41	2.0500e-002	99.037170	-14.609538
  42	2.1000e-002	101.791382	-12.809265
  43	2.1500e-002	104.118347	-10.711385
  44	2.2000e-002	106.674194	-8.276868
  45	2.2500e-002	109.077454	-5.993594
  46	2.3000e-002	111.534119	-3.456623
  47	2.3500e-002	113.807678	-0.787925
  48	2.4000e-002	115.913391	2.032016
  49	2.4500e-002	118.690491	4.930018
  50	2.5000e-002	121.360779	7.959747
  51	2.5500e-002	123.703003	11.004112
  52	2.6000e-002	125.724792	14.111902
  53	2.6500e-002	129.043579	17.283116
  54	2.7000e-002	131.019592	20.371390
