»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2018 - 11:32:51
Configured:	06/03/18 07:31:29 PM
Executed:	06/04/18 11:32:19 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	70.00
Field:	7000.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	2.243042	-0.481700
   2	1.0000e-003	65.849304	-0.452485
   3	1.5000e-003	134.902954	-0.426668
   4	2.0000e-003	204.917908	-0.392697
   5	2.5000e-003	272.369385	-0.360086
   6	3.0000e-003	341.903687	-0.332230
   7	3.5000e-003	410.156250	-0.281954
   8	4.0000e-003	480.331421	-0.274480
   9	4.5000e-003	559.638977	-0.239151
  10	5.0000e-003	622.924805	-0.202463
  11	5.5000e-003	692.298889	-0.171890
  12	6.0000e-003	759.590149	-0.148111
  13	6.5000e-003	827.842712	-0.114820
  14	7.0000e-003	897.857666	-0.094438
  15	7.5000e-003	967.391968	-0.069300
  16	8.0000e-003	1038.208008	-0.034650
  17	8.5000e-003	1110.466003	0.006794
  18	9.0000e-003	1181.282043	0.029894
  19	9.5000e-003	1249.053955	0.076094
  20	1.0000e-002	1316.505432	0.118896
  21	1.0500e-002	1389.884949	0.129767
  22	1.1000e-002	1455.574036	0.165096
  23	1.1500e-002	1527.671814	0.198387
  24	1.2000e-002	1597.686768	0.222166
  25	1.2500e-002	1668.342590	0.266328
  26	1.3000e-002	1736.755371	0.296221
  27	1.3500e-002	1808.372498	0.331551
  28	1.4000e-002	1874.702454	0.369597
  29	1.4500e-002	1944.396973	0.396094
  30	1.5000e-002	2012.008667	0.428706
  31	1.5500e-002	2084.587097	0.442973
  32	1.6000e-002	2150.596619	0.473547
  33	1.6500e-002	2226.379395	0.513632
  34	1.7000e-002	2296.234131	0.559831
  35	1.7500e-002	2363.685608	0.601275
  36	1.8000e-002	2432.418823	0.635925
  37	1.8500e-002	2501.792908	0.670575
  38	1.9000e-002	2567.481995	0.703186
  39	1.9500e-002	2644.386292	0.724927
  40	2.0000e-002	2713.119507	0.754821
  41	2.0500e-002	2783.935547	0.802380
  42	2.1000e-002	2851.226807	0.828877
  43	2.1500e-002	2923.004150	0.868282
  44	2.2000e-002	2990.936279	0.900214
  45	2.2500e-002	3061.592102	0.921955
  46	2.3000e-002	3122.634888	0.940979
  47	2.3500e-002	3192.008972	0.998728
  48	2.4000e-002	3267.471313	1.033378
  49	2.4500e-002	3340.370178	1.055119
  50	2.5000e-002	3410.545349	1.097922
  51	2.5500e-002	3479.438782	1.136648
  52	2.6000e-002	3550.254822	1.178092
  53	2.6500e-002	3620.429993	1.227009
  54	2.7000e-002	3688.842773	1.267774
  55	2.7500e-002	3759.338379	1.303103
  56	2.8000e-002	3824.707031	1.354738
  57	2.8500e-002	3894.721985	1.394143
  58	2.9000e-002	3966.659546	1.430152
  59	2.9500e-002	4037.956238	1.469557
  60	3.0000e-002	4108.772278	1.487901
  61	3.0500e-002	4178.627014	1.544292
  62	3.1000e-002	4248.321533	1.585057
  63	3.1500e-002	4317.695618	1.650280
  64	3.2000e-002	4385.307312	1.690365
  65	3.2500e-002	4458.526611	1.748794
  66	3.3000e-002	4520.050049	1.805184
  67	3.3500e-002	4592.788696	1.842552
  68	3.4000e-002	4661.361694	1.881957
  69	3.4500e-002	4735.542297	1.943784
  70	3.5000e-002	4805.236816	2.006968
  71	3.5500e-002	4873.329163	2.070833
  72	3.6000e-002	4942.543030	2.128582
  73	3.6500e-002	5013.679504	2.184294
  74	3.7000e-002	5081.611633	2.254952
  75	3.7500e-002	5149.383545	2.320175
  76	3.8000e-002	5219.558716	2.385398
  77	3.8500e-002	5290.695190	2.471003
  78	3.9000e-002	5361.190796	2.554570
  79	3.9500e-002	5432.807922	2.649687
  80	4.0000e-002	5500.740051	2.761110
  81	4.0500e-002	5570.915222	2.850792
  82	4.1000e-002	5641.410828	2.971726
  83	4.1500e-002	5709.022522	3.096058
  84	4.2000e-002	5774.711609	3.233977
  85	4.2500e-002	5849.533081	3.358988
  86	4.3000e-002	5915.542603	3.483999
  87	4.3500e-002	5989.562988	3.624637
  88	4.4000e-002	6061.180115	3.757800
  89	4.4500e-002	6128.952026	3.896399
  90	4.5000e-002	6198.966980	4.030922
  91	4.5500e-002	6269.142151	4.151177
  92	4.6000e-002	6334.831238	4.283661
  93	4.6500e-002	6404.846191	4.403237
  94	4.7000e-002	6473.258972	4.527568
  95	4.7500e-002	6543.113708	4.635594
  96	4.8000e-002	6613.609314	4.751773
  97	4.8500e-002	6687.950134	4.856401
  98	4.9000e-002	6754.280090	4.957633
  99	4.9500e-002	6829.902649	5.061582
 100	5.0000e-002	6898.475647	5.160776
 101	5.0500e-002	6963.203430	5.265405
 102	5.1000e-002	6910.652161	5.281710
 103	5.1500e-002	6843.681335	5.276954
 104	5.2000e-002	6773.666382	5.253175
 105	5.2500e-002	6709.899902	5.231434
 106	5.3000e-002	6634.757996	5.205617
 107	5.3500e-002	6570.510864	5.167570
 108	5.4000e-002	6500.656128	5.144470
 109	5.4500e-002	6431.442261	5.128844
 110	5.5000e-002	6362.068176	5.097591
 111	5.5500e-002	6291.572571	5.060903
 112	5.6000e-002	6222.038269	5.043918
 113	5.6500e-002	6149.459839	5.014703
 114	5.7000e-002	6081.047058	4.964427
 115	5.7500e-002	6012.313843	4.948121
 116	5.8000e-002	5942.459106	4.894448
 117	5.8500e-002	5874.206543	4.859799
 118	5.9000e-002	5805.633545	4.836699
 119	5.9500e-002	5734.016418	4.801370
 120	6.0000e-002	5665.924072	4.759246
 121	6.0500e-002	5603.759766	4.743620
 122	6.1000e-002	5525.733948	4.687229
 123	6.1500e-002	5454.116821	4.649182
 124	6.2000e-002	5382.019043	4.629480
 125	6.2500e-002	5314.407349	4.600944
 126	6.3000e-002	5245.513916	4.550668
 127	6.3500e-002	5176.780701	4.503789
 128	6.4000e-002	5107.406616	4.475254
 129	6.4500e-002	5041.877747	4.444001
 130	6.5000e-002	4970.420837	4.384214
 131	6.5500e-002	4895.759583	4.364511
 132	6.6000e-002	4827.507019	4.320349
 133	6.6500e-002	4760.215759	4.296570
 134	6.7000e-002	4686.355591	4.266676
 135	6.7500e-002	4616.821289	4.202133
 136	6.8000e-002	4550.170898	4.171559
 137	6.8500e-002	4480.636597	4.125360
 138	6.9000e-002	4411.262512	4.078480
 139	6.9500e-002	4343.330383	4.046548
 140	7.0000e-002	4269.470215	4.016654
 141	7.0500e-002	4204.261780	3.974531
 142	7.1000e-002	4131.843567	3.927652
 143	7.1500e-002	4060.386658	3.897079
 144	7.2000e-002	3991.333008	3.846123
 145	7.2500e-002	3921.157837	3.800603
 146	7.3000e-002	3848.739624	3.778183
 147	7.3500e-002	3780.967712	3.717715
 148	7.4000e-002	3713.516235	3.679668
 149	7.4500e-002	3645.423889	3.645698
 150	7.5000e-002	3574.768066	3.587269
 151	7.5500e-002	3506.034851	3.549222
 152	7.6000e-002	3433.135986	3.507779
 153	7.6500e-002	3366.325378	3.453426
 154	7.7000e-002	3292.785645	3.418776
 155	7.7500e-002	3221.649170	3.377332
 156	7.8000e-002	3154.518127	3.318224
 157	7.8500e-002	3087.547302	3.271345
 158	7.9000e-002	3014.968872	3.239413
 159	7.9500e-002	2949.119568	3.190495
 160	8.0000e-002	2876.541138	3.147693
 161	8.0500e-002	2807.167053	3.101493
 162	8.1000e-002	2737.472534	3.043064
 163	8.1500e-002	2665.054321	3.007735
 164	8.2000e-002	2594.238281	2.943191
 165	8.2500e-002	2524.063110	2.892236
 166	8.3000e-002	2457.252502	2.839242
 167	8.3500e-002	2388.038635	2.793722
 168	8.4000e-002	2318.183899	2.740728
 169	8.4500e-002	2253.295898	2.688414
 170	8.5000e-002	2178.634644	2.649687
 171	8.5500e-002	2107.978821	2.589900
 172	8.6000e-002	2040.527344	2.534868
 173	8.6500e-002	1965.866089	2.488668
 174	8.7000e-002	1895.690918	2.417330
 175	8.7500e-002	1829.521179	2.361619
 176	8.8000e-002	1757.263184	2.292319
 177	8.8500e-002	1693.496704	2.230493
 178	8.9000e-002	1623.321533	2.176141
 179	8.9500e-002	1548.980713	2.117032
 180	9.0000e-002	1481.208801	2.033465
 181	9.0500e-002	1414.237976	1.958730
 182	9.1000e-002	1337.814331	1.911172
 183	9.1500e-002	1272.605896	1.837796
 184	9.2000e-002	1200.187683	1.771214
 185	9.2500e-002	1132.736206	1.698518
 186	9.3000e-002	1059.356689	1.661150
 187	9.3500e-002	996.231079	1.541575
 188	9.4000e-002	922.531128	1.466160
 189	9.4500e-002	855.560303	1.391426
 190	9.5000e-002	785.385132	1.308538
 191	9.5500e-002	713.607788	1.234483
 192	9.6000e-002	643.432617	1.138686
 193	9.6500e-002	571.975708	1.080257
 194	9.7000e-002	501.960754	0.974270
 195	9.7500e-002	428.100586	0.884588
 196	9.8000e-002	365.615845	0.776562
 197	9.8500e-002	292.556763	0.724248
 198	9.9000e-002	224.464417	0.622337
 199	9.9500e-002	156.372070	0.544205
 200	1.0000e-001	83.152771	0.457241
 201	1.0050e-001	19.226074	0.368239
 202	1.0100e-001	-53.031921	0.288748
 203	1.0150e-001	-126.731873	0.233716
 204	1.0200e-001	-195.144653	0.150149
 205	1.0250e-001	-264.198303	0.092399
 206	1.0300e-001	-334.854126	0.016985
 207	1.0350e-001	-399.581909	-0.059108
 208	1.0400e-001	-471.839905	-0.122293
 209	1.0450e-001	-539.291382	-0.171890
 210	1.0500e-001	-611.709595	-0.204502
 211	1.0550e-001	-679.962158	-0.257495
 212	1.0600e-001	-752.380371	-0.305733
 213	1.0650e-001	-819.671631	-0.358727
 214	1.0700e-001	-891.128540	-0.404927
 215	1.0750e-001	-960.983276	-0.444332
 216	1.0800e-001	-1032.760620	-0.487814
 217	1.0850e-001	-1100.692749	-0.527220
 218	1.0900e-001	-1170.066833	-0.561870
 219	1.0950e-001	-1234.313965	-0.605352
 220	1.1000e-001	-1307.853699	-0.640001
