»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/15/2016 - 8:29:59
Configured:	11/15/16 08:18:26 AM
Executed:	11/15/16 08:29:07 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	ba018b
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	1.23e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	171.43 (kV/cm)
Hysteresis Period (ms):	1.30e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	261

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.0018	-41.577074
   2	1.0000e-003	0.0914	-41.351078
   3	1.5000e-003	0.1848	-40.979577
   4	2.0000e-003	0.2788	-40.416135
   5	2.5000e-003	0.3709	-39.546205
   6	3.0000e-003	0.4613	-38.354309
   7	3.5000e-003	0.5534	-36.716612
   8	4.0000e-003	0.6454	-34.654785
   9	4.5000e-003	0.7398	-32.128583
  10	5.0000e-003	0.8328	-29.107047
  11	5.5000e-003	0.9251	-25.469440
  12	6.0000e-003	1.0153	-21.608933
  13	6.5000e-003	1.1080	-17.389309
  14	7.0000e-003	1.1974	-13.346148
  15	7.5000e-003	1.2931	-9.188440
  16	8.0000e-003	1.3860	-4.959529
  17	8.5000e-003	1.4758	-0.476759
  18	9.0000e-003	1.5704	4.343458
  19	9.5000e-003	1.6630	9.405149
  20	1.0000e-002	1.7545	14.875491
  21	1.0500e-002	1.8479	20.869029
  22	1.1000e-002	1.9392	27.939917
  23	1.1500e-002	2.0297	36.580395
  24	1.2000e-002	2.1250	46.685203
  25	1.2500e-002	2.2139	53.393879
  26	1.3000e-002	2.3093	55.238997
  27	1.3500e-002	2.4017	56.093447
  28	1.4000e-002	2.4947	56.799298
  29	1.4500e-002	2.5864	57.279152
  30	1.5000e-002	2.6772	57.743528
  31	1.5500e-002	2.7703	58.195520
  32	1.6000e-002	2.8629	58.563924
  33	1.6500e-002	3.0075	59.022108
  34	1.7000e-002	2.9044	59.093312
  35	1.7500e-002	2.8110	59.087121
  36	1.8000e-002	2.7170	59.028300
  37	1.8500e-002	2.6273	58.975670
  38	1.9000e-002	2.5306	58.697045
  39	1.9500e-002	2.4425	58.638224
  40	2.0000e-002	2.3508	58.418420
  41	2.0500e-002	2.2562	58.251245
  42	2.1000e-002	2.1645	57.947853
  43	2.1500e-002	2.0741	57.783774
  44	2.2000e-002	1.9802	57.452519
