»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/15/2016 - 8:22:18
Configured:	11/15/16 08:18:26 AM
Executed:	11/15/16 08:20:57 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	ba018b
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	1.23e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	171.43 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	1.0000e-003	-0.0037	-47.147684
   2	2.0000e-003	0.0037	-47.162516
   3	3.0000e-003	0.0089	-47.129145
   4	4.0000e-003	0.0156	-47.051279
   5	5.0000e-003	0.0199	-47.040156
   6	6.0000e-003	0.0272	-47.084650
   7	7.0000e-003	0.0308	-47.058695
   8	8.0000e-003	0.0386	-47.058695
   9	9.0000e-003	0.0471	-47.077234
  10	1.0000e-002	0.0507	-46.906671
  11	1.1000e-002	0.0550	-47.088358
  12	1.2000e-002	0.0631	-47.047571
  13	1.3000e-002	0.0672	-46.991953
  14	1.4000e-002	0.0738	-46.995661
  15	1.5000e-002	0.0790	-46.858469
  16	1.6000e-002	0.0851	-46.932627
  17	1.7000e-002	0.0910	-46.858469
  18	1.8000e-002	0.0997	-46.776895
  19	1.9000e-002	0.1040	-46.799143
  20	2.0000e-002	0.1098	-46.806558
  21	2.1000e-002	0.1171	-46.791727
  22	2.2000e-002	0.1222	-46.769480
  23	2.3000e-002	0.1289	-46.717569
  24	2.4000e-002	0.1344	-46.598917
  25	2.5000e-002	0.1385	-46.702738
  26	2.6000e-002	0.1460	-46.650827
  27	2.7000e-002	0.1519	-46.613748
  28	2.8000e-002	0.1590	-46.554422
  29	2.9000e-002	0.1626	-46.572961
  30	3.0000e-002	0.1701	-46.558130
  31	3.1000e-002	0.1761	-46.539590
  32	3.2000e-002	0.1826	-46.417230
  33	3.3000e-002	0.1893	-46.354196
  34	3.4000e-002	0.1958	-46.454309
  35	3.5000e-002	0.1980	-46.246667
  36	3.6000e-002	0.2079	-46.205880
  37	3.7000e-002	0.2144	-46.128014
  38	3.8000e-002	0.2204	-46.064980
  39	3.9000e-002	0.2220	-46.068688
  40	4.0000e-002	0.2322	-46.046441
  41	4.1000e-002	0.2373	-45.942620
  42	4.2000e-002	0.2435	-45.823967
  43	4.3000e-002	0.2484	-45.798012
