»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/14/2016 - 15:6:35
Configured:	11/14/16 02:58:19 PM
Executed:	11/14/16 03:05:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.50
Field:	142.86 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	1.0000e-003	-0.0035	-38.955163
   2	2.0000e-003	0.0058	-38.935696
   3	3.0000e-003	0.0171	-38.906031
   4	4.0000e-003	0.0248	-38.841139
   5	5.0000e-003	0.0361	-38.807765
   6	6.0000e-003	0.0463	-38.796641
   7	7.0000e-003	0.0553	-38.802203
   8	8.0000e-003	0.0684	-38.792006
   9	9.0000e-003	0.0800	-38.745655
  10	1.0000e-002	0.0867	-38.729895
  11	1.1000e-002	0.0961	-38.667784
  12	1.2000e-002	0.1063	-38.630703
  13	1.3000e-002	0.1164	-38.607527
  14	1.4000e-002	0.1270	-38.571373
  15	1.5000e-002	0.1369	-38.546343
  16	1.6000e-002	0.1465	-38.450859
  17	1.7000e-002	0.1559	-38.381332
  18	1.8000e-002	0.1676	-38.371135
  19	1.9000e-002	0.1772	-38.283994
  20	2.0000e-002	0.1887	-38.210759
  21	2.1000e-002	0.1975	-38.113421
  22	2.2000e-002	0.2050	-37.992907
  23	2.3000e-002	0.2146	-37.880736
  24	2.4000e-002	0.2281	-37.783398
  25	2.5000e-002	0.2345	-37.699038
  26	2.6000e-002	0.2483	-37.570181
  27	2.7000e-002	0.2591	-37.432054
  28	2.8000e-002	0.2673	-37.280948
  29	2.9000e-002	0.2765	-37.132623
  30	3.0000e-002	0.2873	-36.982445
  31	3.1000e-002	0.2966	-36.789623
  32	3.2000e-002	0.3059	-36.647787
  33	3.3000e-002	0.3179	-36.478141
  34	3.4000e-002	0.3239	-36.247310
  35	3.5000e-002	0.3364	-36.073956
  36	3.6000e-002	0.3481	-35.914507
  37	3.7000e-002	0.3562	-35.687385
  38	3.8000e-002	0.3677	-35.494563
  39	3.9000e-002	0.3765	-35.246119
  40	4.0000e-002	0.3864	-34.977280
  41	4.1000e-002	0.3970	-34.759428
  42	4.2000e-002	0.4064	-34.528598
  43	4.3000e-002	0.4166	-34.275519
  44	4.4000e-002	0.4272	-34.033564
  45	4.5000e-002	0.4368	-33.754529
  46	4.6000e-002	0.4483	-33.480128
  47	4.7000e-002	0.4580	-33.164011
  48	4.8000e-002	0.4675	-32.876632
  49	4.9000e-002	0.4776	-32.583691
  50	5.0000e-002	0.4877	-32.266647
  51	5.1000e-002	0.4984	-31.931989
  52	5.2000e-002	0.5062	-31.606602
  53	5.3000e-002	0.5166	-31.258966
  54	5.4000e-002	0.5267	-30.943776
  55	5.5000e-002	0.5380	-30.576672
  56	5.6000e-002	0.5468	-30.203079
  57	5.7000e-002	0.5565	-29.814654
  58	5.8000e-002	0.5663	-29.399345
  59	5.9000e-002	0.5776	-28.987744
  60	6.0000e-002	0.5851	-28.559456
  61	6.1000e-002	0.5956	-28.164542
  62	6.2000e-002	0.6103	-27.722349
  63	6.3000e-002	0.6141	-27.276448
  64	6.4000e-002	0.6279	-26.814787
  65	6.5000e-002	0.6352	-26.333659
  66	6.6000e-002	0.6469	-25.868290
  67	6.7000e-002	0.6576	-25.390870
  68	6.8000e-002	0.6666	-24.904180
  69	6.9000e-002	0.6776	-24.400803
  70	7.0000e-002	0.6867	-23.855709
  71	7.1000e-002	0.6967	-23.356968
