»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/15/2017 - 12:38:57
Configured:	04/15/17 12:28:47 PM
Executed:	04/15/17 12:37:59 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	5.00e-002

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	4.00
Field:	800.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	1.0098	-70.073021
   2	1.0000e-003	1.0884	-69.654116
   3	1.5000e-003	1.1710	-69.018241
   4	2.0000e-003	1.2499	-67.957017
   5	2.5000e-003	1.3300	-66.234139
   6	3.0000e-003	1.4096	-63.862496
   7	3.5000e-003	1.4880	-60.936611
   8	4.0000e-003	1.5671	-57.415666
   9	4.5000e-003	1.6471	-53.276033
  10	5.0000e-003	1.7279	-48.569267
  11	5.5000e-003	1.8066	-43.327593
  12	6.0000e-003	1.8867	-37.963470
  13	6.5000e-003	1.9655	-32.614384
  14	7.0000e-003	2.0473	-27.548865
  15	7.5000e-003	2.1286	-22.859285
  16	8.0000e-003	2.2078	-18.573572
  17	8.5000e-003	2.2845	-14.326527
  18	9.0000e-003	2.3703	-10.062296
  19	9.5000e-003	2.4463	-5.288935
  20	1.0000e-002	2.5249	0.141783
  21	1.0500e-002	2.6080	6.302898
  22	1.1000e-002	2.6878	12.653058
  23	1.1500e-002	2.7721	16.977439
  24	1.2000e-002	2.8508	18.874324
  25	1.2500e-002	2.9315	19.926955
  26	1.3000e-002	3.0121	20.717502
  27	1.3500e-002	3.0895	21.299672
  28	1.4000e-002	3.1665	21.903324
  29	1.4500e-002	3.2513	22.496234
  30	1.5000e-002	3.3323	23.089145
  31	1.5500e-002	3.4120	23.651981
  32	1.6000e-002	3.4915	24.281411
  33	1.6500e-002	3.5729	24.887211
  34	1.7000e-002	3.6526	25.490863
  35	1.7500e-002	3.7329	26.133183
  36	1.8000e-002	3.8097	26.824912
  37	1.8500e-002	3.8911	27.503752
  38	1.9000e-002	3.9696	28.204074
  39	1.9500e-002	4.0520	28.925878
  40	2.0000e-002	4.1330	29.630497
  41	2.0500e-002	4.2127	30.431785
  42	2.1000e-002	4.2908	31.230926
  43	2.1500e-002	4.3735	32.045104
  44	2.2000e-002	4.4520	32.932322
