»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/22/2018 - 6:24:44
Configured:	08/22/18 06:20:09 AM
Executed:	08/22/18 06:24:16 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	-3.00
Field:	-300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	0.091553	54.228112
   2	2.0000e-003	-0.923157	54.299311
   3	3.0000e-003	-2.143860	54.351093
   4	4.0000e-003	-3.334045	54.273421
   5	5.0000e-003	-4.600525	54.279893
   6	6.0000e-003	-5.928040	54.266948
   7	7.0000e-003	-7.087708	54.228112
   8	8.0000e-003	-8.102417	54.228112
   9	9.0000e-003	-9.384155	54.266948
  10	1.0000e-002	-10.444641	54.124549
  11	1.1000e-002	-11.619568	54.286366
  12	1.2000e-002	-13.038635	54.182803
  13	1.3000e-002	-14.091492	54.215167
  14	1.4000e-002	-15.411377	54.215167
  15	1.5000e-002	-16.647339	54.105131
  16	1.6000e-002	-17.669678	54.273421
  17	1.7000e-002	-19.012451	54.131022
  18	1.8000e-002	-20.126343	54.059822
  19	1.9000e-002	-21.339417	53.956259
  20	2.0000e-002	-22.583008	54.033932
  21	2.1000e-002	-23.742676	53.949787
  22	2.2000e-002	-24.826050	53.813860
  23	2.3000e-002	-26.184082	54.040404
  24	2.4000e-002	-27.420044	53.826806
  25	2.5000e-002	-28.656006	53.826806
  26	2.6000e-002	-29.830933	53.716770
  27	2.7000e-002	-30.899048	53.606735
  28	2.8000e-002	-32.150269	53.645571
  29	2.9000e-002	-33.386230	53.664989
  30	3.0000e-002	-34.545898	53.496699
  31	3.1000e-002	-35.881042	53.542008
  32	3.2000e-002	-36.964417	53.444918
  33	3.3000e-002	-38.055420	53.380191
  34	3.4000e-002	-39.314270	53.354300
  35	3.5000e-002	-40.580750	53.231319
  36	3.6000e-002	-41.687012	52.998303
  37	3.7000e-002	-42.839050	53.140702
  38	3.8000e-002	-43.998718	52.713505
  39	3.9000e-002	-45.272827	52.901213
  40	4.0000e-002	-46.516418	52.726450
  41	4.1000e-002	-47.927856	52.830013
  42	4.2000e-002	-49.011230	52.603469
  43	4.3000e-002	-50.285339	52.519325
  44	4.4000e-002	-51.399231	52.428707
  45	4.5000e-002	-52.520752	52.331617
  46	4.6000e-002	-53.741455	52.176272
  47	4.7000e-002	-55.046082	52.176272
  48	4.8000e-002	-56.114197	51.956201
  49	4.9000e-002	-57.411194	51.716712
  50	5.0000e-002	-58.677673	51.729658
  51	5.1000e-002	-59.745789	51.477223
  52	5.2000e-002	-60.981750	51.328351
  53	5.3000e-002	-62.248230	51.075917
  54	5.4000e-002	-63.423157	50.946463
  55	5.5000e-002	-64.537048	50.758756
  56	5.6000e-002	-65.765381	50.357449
  57	5.7000e-002	-66.833496	50.227996
  58	5.8000e-002	-68.176270	50.027343
  59	5.9000e-002	-69.343567	49.768436
  60	6.0000e-002	-70.503235	49.438329
  61	6.1000e-002	-71.655273	49.037023
  62	6.2000e-002	-73.005676	48.687498
  63	6.3000e-002	-73.966980	48.325028
  64	6.4000e-002	-75.294495	48.085539
  65	6.5000e-002	-76.446533	47.548306
  66	6.6000e-002	-77.682495	47.211727
  67	6.7000e-002	-78.804016	46.655077
  68	6.8000e-002	-80.108643	46.350861
  69	6.9000e-002	-81.359863	45.632393
  70	7.0000e-002	-82.427979	45.244032
  71	7.1000e-002	-83.641052	44.622655
  72	7.2000e-002	-84.884644	44.007750
  73	7.3000e-002	-86.097717	43.237502
  74	7.4000e-002	-87.364197	42.590234
  75	7.5000e-002	-88.569641	41.787621
  76	7.6000e-002	-89.599609	41.010900
  77	7.7000e-002	-90.850830	40.104725
  78	7.8000e-002	-91.835022	39.237385
  79	7.9000e-002	-93.109131	38.376519
  80	8.0000e-002	-94.474792	37.256745
  81	8.1000e-002	-95.573425	36.195226
  82	8.2000e-002	-96.702576	35.114288
  83	8.3000e-002	-97.938538	33.936261
  84	8.4000e-002	-99.151611	32.687033
  85	8.5000e-002	-100.440979	31.243626
  86	8.6000e-002	-101.577759	29.994399
  87	8.7000e-002	-102.752686	28.738699
  88	8.8000e-002	-103.919983	27.133474
  89	8.9000e-002	-105.361938	25.644758
  90	9.0000e-002	-106.163025	24.084842
  91	9.1000e-002	-107.490540	22.401945
  92	9.2000e-002	-108.726501	20.777302
  93	9.3000e-002	-109.962463	18.977897
  94	9.4000e-002	-111.129761	17.230274
  95	9.5000e-002	-112.319946	15.404978
  96	9.6000e-002	-113.319397	13.456701
  97	9.7000e-002	-114.562988	11.702605
  98	9.8000e-002	-116.012573	9.741383
  99	9.9000e-002	-117.218018	7.890197
 100	1.0000e-001	-118.141174	6.006647
 101	1.0100e-001	-119.461060	3.786518
 102	1.0200e-001	-120.681763	1.689369
 103	1.0300e-001	-121.856689	-0.278325
 104	1.0400e-001	-123.046875	-2.517872
 105	1.0500e-001	-124.282837	-4.530876
 106	1.0600e-001	-125.335693	-6.705696
 107	1.0700e-001	-126.510620	-8.848153
 108	1.0800e-001	-127.761841	-10.984138
 109	1.0900e-001	-128.929138	-13.152486
 110	1.1000e-001	-130.325317	-15.288470
 111	1.1100e-001	-131.561279	-17.443872
 112	1.1200e-001	-132.736206	-19.651056
 113	1.1300e-001	-133.911133	-21.897076
 114	1.1400e-001	-134.880066	-23.884189
 115	1.1500e-001	-136.268616	-26.162572
 116	1.1600e-001	-137.458801	-28.479791
 117	1.1700e-001	-138.664246	-30.505740
 118	1.1800e-001	-139.846802	-32.712924
 119	1.1900e-001	-141.029358	-34.764764
 120	1.2000e-001	-142.097473	-36.959002
 121	1.2100e-001	-143.356323	-39.075568
 122	1.2200e-001	-144.592285	-41.172717
 123	1.2300e-001	-145.782471	-43.321646
 124	1.2400e-001	-147.140503	-45.444685
 125	1.2500e-001	-148.239136	-47.567724
 126	1.2600e-001	-149.475098	-49.658400
 127	1.2700e-001	-150.619507	-51.651985
 128	1.2800e-001	-151.847839	-53.671462
 129	1.2900e-001	-153.160095	-55.749192
 130	1.3000e-001	-154.190063	-57.600378
 131	1.3100e-001	-155.441284	-59.749308
 132	1.3200e-001	-156.837463	-61.568131
 133	1.3300e-001	-157.875061	-63.496990
 134	1.3400e-001	-159.080505	-65.380539
 135	1.3500e-001	-160.430908	-67.018127
 136	1.3600e-001	-161.460876	-68.578043
 137	1.3700e-001	-162.811279	-69.814325
 138	1.3800e-001	-164.039612	-70.772282
 139	1.3900e-001	-165.229797	-71.160643
 140	1.4000e-001	-166.618347	-71.290096
 141	1.4100e-001	-167.755127	-71.432495
 142	1.4200e-001	-168.945313	-71.600785
 143	1.4300e-001	-170.135498	-71.607257
 144	1.4400e-001	-171.318054	-71.646094
 145	1.4500e-001	-172.531128	-71.620203
