»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 10:50:57
Configured:	08/03/17 10:04:09 AM
Executed:	08/03/17 10:50:39 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	1.60e+001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	8.0000e-003	-0.0019	-10.415504
   2	1.6000e-002	0.0096	-10.260706
   3	2.4000e-002	0.0217	-10.323738
   4	3.2000e-002	0.0353	-10.191186
   5	4.0000e-002	0.0461	-10.167086
   6	4.8000e-002	0.0589	-10.032680
   7	5.6000e-002	0.0696	-9.856562
   8	6.4000e-002	0.0853	-9.831535
   9	7.2000e-002	0.0932	-9.388460
  10	8.0000e-002	0.1061	-9.085353
  11	8.8000e-002	0.1194	-8.774829
  12	9.6000e-002	0.1291	-8.508799
  13	1.0400e-001	0.1417	-8.268723
  14	1.1200e-001	0.1556	-7.899803
  15	1.2000e-001	0.1680	-7.558691
  16	1.2800e-001	0.1801	-6.985845
  17	1.3600e-001	0.1900	-6.894078
  18	1.4400e-001	0.2015	-6.235028
  19	1.5200e-001	0.2147	-5.959728
  20	1.6000e-001	0.2270	-5.298823
  21	1.6800e-001	0.2382	-4.951223
  22	1.7600e-001	0.2493	-4.487755
  23	1.8400e-001	0.2619	-4.048388
  24	1.9200e-001	0.2731	-3.594190
  25	2.0000e-001	0.2843	-3.013002
  26	2.0800e-001	0.2983	-2.655205
  27	2.1600e-001	0.3093	-2.112948
  28	2.2400e-001	0.3210	-1.599426
  29	2.3200e-001	0.3349	-1.095174
  30	2.4000e-001	0.3461	-0.579798
  31	2.4800e-001	0.3560	-0.081107
  32	2.5600e-001	0.3701	0.566821
  33	2.6400e-001	0.3812	0.961695
  34	2.7200e-001	0.3933	1.622600
  35	2.8000e-001	0.4064	1.994300
  36	2.8800e-001	0.4177	2.640374
  37	2.9600e-001	0.4316	3.022271
  38	3.0400e-001	0.4412	3.558967
  39	3.1200e-001	0.4554	4.059511
  40	3.2000e-001	0.4674	4.611038
  41	3.2800e-001	0.4794	5.363709
  42	3.3600e-001	0.4907	5.800295
  43	3.4400e-001	0.5029	6.498277
  44	3.5200e-001	0.5138	6.864416
