»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/22/2018 - 6:38:31
Configured:	08/22/18 06:37:02 AM
Executed:	08/22/18 06:37:59 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	-3.00
Field:	-300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	-0.068665	18.259773
   2	1.0000e-003	-2.960205	18.309216
   3	1.5000e-003	-6.057739	18.148527
   4	2.0000e-003	-8.850098	18.136167
   5	2.5000e-003	-11.833191	18.055823
   6	3.0000e-003	-14.953613	18.129986
   7	3.5000e-003	-18.234253	18.092905
   8	4.0000e-003	-21.049500	17.882773
   9	4.5000e-003	-23.841858	17.808610
  10	5.0000e-003	-26.847839	17.734446
  11	5.5000e-003	-29.907227	17.740626
  12	6.0000e-003	-32.798767	17.647921
  13	6.5000e-003	-35.919189	17.400708
  14	7.0000e-003	-38.757324	17.073151
  15	7.5000e-003	-41.984558	16.850659
  16	8.0000e-003	-44.975281	16.720872
  17	8.5000e-003	-47.630310	16.294430
  18	9.0000e-003	-50.804138	16.183184
  19	9.5000e-003	-53.771973	15.633135
  20	1.0000e-002	-56.747437	15.008922
  21	1.0500e-002	-59.883118	14.693725
  22	1.1000e-002	-62.759399	14.100414
  23	1.1500e-002	-65.818787	13.599807
  24	1.2000e-002	-68.809509	13.099201
  25	1.2500e-002	-71.945190	12.425546
  26	1.3000e-002	-74.440002	11.615923
  27	1.3500e-002	-77.537537	10.849562
  28	1.4000e-002	-80.886841	10.083202
  29	1.4500e-002	-83.694458	9.075809
  30	1.5000e-002	-86.738586	8.173481
  31	1.5500e-002	-89.698792	6.949777
  32	1.6000e-002	-92.437744	5.794056
  33	1.6500e-002	-95.741272	4.557990
  34	1.7000e-002	-98.823547	3.241581
  35	1.7500e-002	-101.440430	1.783024
  36	1.8000e-002	-104.446411	0.207041
  37	1.8500e-002	-107.688904	-1.436926
  38	1.9000e-002	-110.176086	-3.321925
  39	1.9500e-002	-113.540649	-5.404695
  40	2.0000e-002	-116.340637	-7.777940
  41	2.0500e-002	-119.110107	-9.947235
  42	2.1000e-002	-122.184753	-12.413185
  43	2.1500e-002	-125.267029	-14.947119
  44	2.2000e-002	-127.906799	-17.839511
  45	2.2500e-002	-131.347656	-20.571215
  46	2.3000e-002	-134.292603	-23.630477
  47	2.3500e-002	-137.100220	-26.807164
  48	2.4000e-002	-139.739990	-29.977671
  49	2.4500e-002	-143.081665	-33.185261
  50	2.5000e-002	-145.645142	-36.683325
  51	2.5500e-002	-148.735046	-39.909455
  52	2.6000e-002	-151.878357	-43.073782
  53	2.6500e-002	-155.036926	-46.528585
  54	2.7000e-002	-157.867432	-49.847420
  55	2.7500e-002	-161.117554	-53.067370
  56	2.8000e-002	-164.184570	-56.262598
  57	2.8500e-002	-167.320251	-59.433105
  58	2.9000e-002	-169.784546	-62.659236
  59	2.9500e-002	-173.004150	-65.397120
  60	3.0000e-002	-176.124573	-68.215349
  61	3.0500e-002	-179.412842	-70.495889
  62	3.1000e-002	-183.151245	-71.935905
  63	3.1500e-002	-185.951233	-72.189298
  64	3.2000e-002	-189.064026	-72.201659
  65	3.2500e-002	-192.108154	-72.238741
  66	3.3000e-002	-195.213318	-72.312905
  67	3.3500e-002	-197.891235	-72.374708
  68	3.4000e-002	-200.866699	-72.399429
  69	3.4500e-002	-204.406738	-72.448872
  70	3.5000e-002	-206.756592	-72.473593
  71	3.5500e-002	-210.289001	-72.479774
  72	3.6000e-002	-212.936401	-72.659003
  73	3.6500e-002	-215.980530	-72.689905
  74	3.7000e-002	-218.849182	-72.696085
  75	3.7500e-002	-222.320557	-72.856774
  76	3.8000e-002	-225.151062	-72.893856
  77	3.8500e-002	-228.080750	-72.875315
  78	3.9000e-002	-231.086731	-72.782610
  79	3.9500e-002	-233.947754	-73.239954
  80	4.0000e-002	-236.991882	-73.097806
  81	4.0500e-002	-240.020752	-72.955659
  82	4.1000e-002	-242.683411	-73.289396
  83	4.1500e-002	-246.032715	-73.122528
  84	4.2000e-002	-248.901367	-73.171970
  85	4.2500e-002	-251.945496	-73.326478
  86	4.3000e-002	-254.905701	-73.369741
  87	4.3500e-002	-258.178711	-73.462446
  88	4.4000e-002	-260.963440	-73.518068
  89	4.4500e-002	-263.801575	-73.734380
  90	4.5000e-002	-267.272949	-73.703478
  91	4.5500e-002	-270.042419	-73.783823
  92	4.6000e-002	-272.705078	-73.888888
  93	4.6500e-002	-276.161194	-74.061937
  94	4.7000e-002	-279.159546	-74.055757
  95	4.7500e-002	-281.837463	-74.315331
  96	4.8000e-002	-284.851074	-74.389494
  97	4.8500e-002	-288.017273	-74.469839
  98	4.9000e-002	-291.023254	-74.649068
  99	4.9500e-002	-294.128418	-74.686150
 100	5.0000e-002	-296.813965	-74.828298
 101	5.0500e-002	-299.911499	-75.056970
 102	5.1000e-002	-297.027588	-75.230019
 103	5.1500e-002	-293.861389	-75.174396
 104	5.2000e-002	-290.634155	-75.322724
 105	5.2500e-002	-288.330078	-75.186757
 106	5.3000e-002	-284.782410	-75.489593
 107	5.3500e-002	-281.837463	-75.594658
 108	5.4000e-002	-279.106140	-75.650281
 109	5.4500e-002	-275.878906	-75.786248
 110	5.5000e-002	-272.956848	-75.885133
 111	5.5500e-002	-270.133972	-76.002560
 112	5.6000e-002	-267.127991	-75.996379
 113	5.6500e-002	-264.015198	-75.897494
 114	5.7000e-002	-260.925293	-75.841871
 115	5.7500e-002	-258.171082	-75.878953
 116	5.8000e-002	-254.981995	-75.996379
 117	5.8500e-002	-252.128601	-75.996379
 118	5.9000e-002	-248.786926	-76.076723
 119	5.9500e-002	-245.880127	-75.946937
 120	6.0000e-002	-243.080139	-76.095264
 121	6.0500e-002	-239.822388	-76.095264
 122	6.1000e-002	-236.946106	-76.132346
 123	6.1500e-002	-233.932495	-76.076723
 124	6.2000e-002	-231.010437	-76.138527
 125	6.2500e-002	-227.981567	-76.076723
 126	6.3000e-002	-224.952698	-76.126166
 127	6.3500e-002	-221.916199	-76.107625
 128	6.4000e-002	-218.933105	-76.002560
 129	6.4500e-002	-215.858459	-76.076723
 130	6.5000e-002	-212.867737	-76.052002
 131	6.5500e-002	-209.877014	-76.095264
 132	6.6000e-002	-207.092285	-76.107625
 133	6.6500e-002	-203.918457	-76.070543
 134	6.7000e-002	-200.958252	-76.027281
 135	6.7500e-002	-197.776794	-75.984019
 136	6.8000e-002	-195.053101	-76.052002
 137	6.8500e-002	-191.711426	-76.021101
 138	6.9000e-002	-188.919067	-75.977838
 139	6.9500e-002	-185.951233	-76.070543
 140	7.0000e-002	-182.922363	-75.712084
 141	7.0500e-002	-179.740906	-75.885133
 142	7.1000e-002	-176.834106	-75.854232
