»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2017 - 11:21:43
Configured:	06/19/17 10:57:34 AM
Executed:	06/19/17 11:21:14 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	0.0018	-12.486570
   2	1.0000e-003	0.0607	-12.235228
   3	1.5000e-003	0.1205	-11.781952
   4	2.0000e-003	0.1833	-10.903327
   5	2.5000e-003	0.2390	-9.616539
   6	3.0000e-003	0.2992	-7.865734
   7	3.5000e-003	0.3620	-5.713210
   8	4.0000e-003	0.4220	-3.285713
   9	4.5000e-003	0.4823	-0.538131
  10	5.0000e-003	0.5400	2.237379
  11	5.5000e-003	0.6005	5.197636
  12	6.0000e-003	0.6590	8.069815
  13	6.5000e-003	0.7207	10.856066
  14	7.0000e-003	0.7830	13.423197
  15	7.5000e-003	0.8405	15.878621
  16	8.0000e-003	0.9002	18.164334
  17	8.5000e-003	0.9613	20.402787
  18	9.0000e-003	1.0206	22.364118
  19	9.5000e-003	1.0802	24.258855
  20	1.0000e-002	1.1423	26.099885
  21	1.0500e-002	1.1988	27.842098
  22	1.1000e-002	1.2602	29.537049
  23	1.1500e-002	1.3194	31.146071
  24	1.2000e-002	1.3813	32.634792
  25	1.2500e-002	1.4407	33.872171
  26	1.3000e-002	1.5004	34.752944
  27	1.3500e-002	1.5620	35.279260
  28	1.4000e-002	1.6203	35.625125
  29	1.4500e-002	1.6810	35.865726
  30	1.5000e-002	1.7409	36.095586
  31	1.5500e-002	1.8027	36.314705
  32	1.6000e-002	1.8607	36.490860
  33	1.6500e-002	1.9225	36.624050
  34	1.7000e-002	1.9830	36.778722
  35	1.7500e-002	2.0451	36.894727
  36	1.8000e-002	2.1021	37.077326
  37	1.8500e-002	2.1626	37.176145
  38	1.9000e-002	2.2212	37.264222
  39	1.9500e-002	2.2824	37.386671
  40	2.0000e-002	2.3435	37.539195
  41	2.0500e-002	2.4030	37.685274
  42	2.1000e-002	2.4637	37.792686
  43	2.1500e-002	2.5231	37.966692
  44	2.2000e-002	2.5783	38.037584
  45	2.2500e-002	2.6435	38.164329
  46	2.3000e-002	2.7032	38.260999
  47	2.3500e-002	2.7640	38.381300
  48	2.4000e-002	2.8241	38.426413
  49	2.4500e-002	2.8810	38.551010
  50	2.5000e-002	2.9421	38.647680
  51	2.5500e-002	2.9998	38.746499
  52	2.6000e-002	2.9419	38.675607
  53	2.6500e-002	2.8809	38.574640
  54	2.7000e-002	2.8207	38.566047
  55	2.7500e-002	2.7585	38.531676
  56	2.8000e-002	2.7006	38.428561
  57	2.8500e-002	2.6411	38.398486
  58	2.9000e-002	2.5849	38.314705
  59	2.9500e-002	2.5226	38.267444
  60	3.0000e-002	2.4596	38.127809
  61	3.0500e-002	2.3992	38.018250
  62	3.1000e-002	2.3417	37.958099
  63	3.1500e-002	2.2802	37.870022
  64	3.2000e-002	2.2226	37.824909
  65	3.2500e-002	2.1580	37.754018
  66	3.3000e-002	2.1017	37.640162
  67	3.3500e-002	2.0412	37.543491
  68	3.4000e-002	1.9803	37.401708
  69	3.4500e-002	1.9187	37.305038
  70	3.5000e-002	1.8606	37.244888
  71	3.5500e-002	1.7986	37.227702
  72	3.6000e-002	1.7419	37.062288
  73	3.6500e-002	1.6803	36.961322
  74	3.7000e-002	1.6202	36.832428
  75	3.7500e-002	1.5598	36.793760
  76	3.8000e-002	1.4998	36.690645
  77	3.8500e-002	1.4389	36.551010
  78	3.9000e-002	1.3796	36.422117
  79	3.9500e-002	1.3204	36.282482
  80	4.0000e-002	1.2592	36.166478
  81	4.0500e-002	1.2000	36.026843
  82	4.1000e-002	1.1406	35.895801
  83	4.1500e-002	1.0795	35.766908
  84	4.2000e-002	1.0200	35.560678
  85	4.2500e-002	0.9609	35.496231
  86	4.3000e-002	0.9013	35.326521
  87	4.3500e-002	0.8413	35.105254
  88	4.4000e-002	0.7803	34.974212
  89	4.4500e-002	0.7202	34.755093
  90	4.5000e-002	0.6592	34.540270
  91	4.5500e-002	0.5989	34.385597
  92	4.6000e-002	0.5405	34.121366
  93	4.6500e-002	0.4784	33.754019
  94	4.7000e-002	0.4188	33.354448
  95	4.7500e-002	0.3573	32.888283
  96	4.8000e-002	0.3003	32.237370
  97	4.8500e-002	0.2389	31.292150
  98	4.9000e-002	0.1814	30.059068
  99	4.9500e-002	0.1183	28.525234
 100	5.0000e-002	0.0595	26.583237
 101	5.0500e-002	0.0004	24.196556
 102	5.1000e-002	-0.0559	21.502679
 103	5.1500e-002	-0.1166	18.570349
 104	5.2000e-002	-0.1756	15.268524
 105	5.2500e-002	-0.2364	11.738987
 106	5.3000e-002	-0.2966	8.003220
 107	5.3500e-002	-0.3547	4.149301
 108	5.4000e-002	-0.4153	0.200859
 109	5.4500e-002	-0.4777	-3.612244
 110	5.5000e-002	-0.5373	-7.195487
 111	5.5500e-002	-0.5979	-10.398493
 112	5.6000e-002	-0.6568	-13.197633
 113	5.6500e-002	-0.7162	-15.749727
 114	5.7000e-002	-0.7796	-18.005366
 115	5.7500e-002	-0.8392	-20.048330
 116	5.8000e-002	-0.8981	-21.902250
 117	5.8500e-002	-0.9582	-23.580015
 118	5.9000e-002	-1.0195	-25.158962
 119	5.9500e-002	-1.0805	-26.576792
 120	6.0000e-002	-1.1402	-27.850691
 121	6.0500e-002	-1.2012	-28.984954
 122	6.1000e-002	-1.2576	-29.990325
 123	6.1500e-002	-1.3194	-30.823837
 124	6.2000e-002	-1.3792	-31.601495
 125	6.2500e-002	-1.4379	-32.254556
 126	6.3000e-002	-1.5002	-32.841022
 127	6.3500e-002	-1.5589	-33.302891
 128	6.4000e-002	-1.6191	-33.756167
 129	6.4500e-002	-1.6799	-34.160034
 130	6.5000e-002	-1.7402	-34.561752
 131	6.5500e-002	-1.8010	-34.841022
 132	6.6000e-002	-1.8594	-35.150366
 133	6.6500e-002	-1.9202	-35.393116
 134	6.7000e-002	-1.9804	-35.655200
 135	6.7500e-002	-2.0413	-35.887208
 136	6.8000e-002	-2.1009	-36.142847
 137	6.8500e-002	-2.1616	-36.381300
 138	6.9000e-002	-2.2215	-36.533825
 139	6.9500e-002	-2.2796	-36.725017
 140	7.0000e-002	-2.3418	-36.926950
