»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»	 Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp Serial:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 12:13:13
Configured:	08/03/17 11:58:37 AM
Executed:	08/03/17 11:59:27 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	IV
Max Volts:	4.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Monopolar Triangle Volts:	5.00
Preset Period (ms):	2.00
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Drive Voltage	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	6.267925348184e-013	2.43442e+008	1.19506e+008
     2	0.166667	1.594182610991e-012	1.04617e+011	5.13565e+010
     3	0.333333	3.704480132703e-012	8.98356e+010	4.41003e+010
     4	0.500000	7.479875594951e-012	6.68603e+010	3.28217e+010
     5	0.666667	1.531874374464e-011	4.35887e+010	2.13977e+010
     6	0.833333	2.580746080358e-011	3.23683e+010	1.58896e+010
     7	1.000000	1.616160099123e-011	6.18363e+010	3.03555e+010
     8	1.166667	5.444914215524e-012	2.14005e+011	1.05055e+011
     9	1.333333	3.976582510557e-012	3.35406e+011	1.64651e+011
    10	1.500000	3.792454021584e-012	3.95627e+011	1.94213e+011
    11	1.666667	3.367087534151e-012	4.95207e+011	2.43097e+011
    12	1.833333	3.555275459375e-012	5.15647e+011	2.53131e+011
    13	2.000000	3.258678102309e-012	6.14111e+011	3.01467e+011
    14	2.166667	3.081517312593e-012	7.03292e+011	3.45246e+011
    15	2.333333	3.228883322962e-012	7.22704e+011	3.54775e+011
    16	2.500000	2.311182481004e-012	1.08209e+012	5.31200e+011
    17	2.666667	2.677773619712e-012	9.95381e+011	4.88633e+011
    18	2.833333	2.067748180580e-012	1.37036e+012	6.72709e+011
    19	3.000000	3.173135864903e-012	9.45326e+011	4.64061e+011
    20	3.166667	2.449132947472e-012	1.29306e+012	6.34765e+011
    21	3.333333	2.445762645775e-012	1.36307e+012	6.69130e+011
    22	3.500000	2.904637748505e-012	1.20599e+012	5.92020e+011
    23	3.666667	2.875146504204e-012	1.27599e+012	6.26386e+011
    24	3.833333	3.270719301821e-012	1.17192e+012	5.75293e+011
    25	4.000000	3.200805324569e-012	1.25010e+012	6.13672e+011
    26	3.833333	2.518277650904e-012	1.52317e+012	7.47722e+011
    27	3.666667	2.527075023119e-012	1.45093e+012	7.12262e+011
    28	3.500000	2.178175457288e-012	1.60761e+012	7.89177e+011
    29	3.333333	2.106481453312e-012	1.58319e+012	7.77188e+011
    30	3.166667	1.899763164063e-012	1.66739e+012	8.18522e+011
    31	3.000000	2.219519921351e-012	1.35186e+012	6.63630e+011
    32	2.833333	2.340886130389e-012	1.21112e+012	5.94537e+011
    33	2.666667	1.155180955322e-012	2.30900e+012	1.13349e+012
    34	2.500000	2.145907099991e-012	1.16476e+012	5.71780e+011
    35	2.333333	1.926764788709e-012	1.21123e+012	5.94593e+011
    36	2.166667	2.144923393078e-012	1.00964e+012	4.95633e+011
    37	2.000000	2.024621330312e-012	9.87862e+011	4.84941e+011
    38	1.833333	2.389448048086e-012	7.67298e+011	3.76667e+011
    39	1.666667	1.951272730975e-012	8.53896e+011	4.19177e+011
    40	1.500000	2.273939377848e-012	6.59286e+011	3.23643e+011
    41	1.333333	2.609384917521e-012	5.10881e+011	2.50791e+011
    42	1.166667	2.809644139093e-012	4.16248e+011	2.04336e+011
    43	1.000000	4.096300209185e-012	2.44045e+011	1.19801e+011
    44	0.833333	1.063784030645e-011	7.84610e+010	3.85165e+010
    45	0.666667	8.752875040483e-012	7.61120e+010	3.73634e+010
    46	0.500000	6.313474515880e-012	7.89105e+010	3.87372e+010
    47	0.333333	4.327064761268e-012	7.66631e+010	3.76339e+010
    48	0.166667	1.605089439077e-012	1.04381e+011	5.12408e+010
    49	-0.000000	4.910063664798e-014	3.10766e+009	1.52555e+009
    50	0.000000	4.183811676571e-013	1.27649e+009	6.26627e+008
    51	-0.166667	2.174883069405e-012	7.67190e+010	3.76614e+010
    52	-0.333333	4.456421237368e-012	7.46603e+010	3.66508e+010
    53	-0.500000	5.461733244735e-012	9.11745e+010	4.47575e+010
    54	-0.666667	7.615058704391e-012	8.76146e+010	4.30100e+010
    55	-0.833333	7.479068106044e-012	1.11425e+011	5.46988e+010
    56	-1.000000	7.492575530755e-012	1.33443e+011	6.55072e+010
    57	-1.166667	5.896988907456e-012	1.97599e+011	9.70012e+010
    58	-1.333333	4.975049397961e-012	2.67831e+011	1.31478e+011
    59	-1.500000	4.040992194168e-012	3.71143e+011	1.82194e+011
    60	-1.666667	4.341948352577e-012	3.83882e+011	1.88447e+011
    61	-1.833333	3.675860909531e-012	4.98980e+011	2.44950e+011
    62	-2.000000	3.240618892607e-012	6.16992e+011	3.02881e+011
    63	-2.166667	3.618073955432e-012	5.98783e+011	2.93943e+011
    64	-2.333333	3.254042571979e-012	7.17444e+011	3.52193e+011
    65	-2.500000	2.357429477839e-012	1.06145e+012	5.21065e+011
    66	-2.666667	3.593540251287e-012	7.41827e+011	3.64163e+011
    67	-2.833333	3.161431368150e-012	8.96458e+011	4.40071e+011
    68	-3.000000	3.481671729623e-012	8.61182e+011	4.22754e+011
    69	-3.166667	3.103038069176e-012	1.02075e+012	5.01085e+011
    70	-3.333333	3.616922888708e-012	9.22086e+011	4.52652e+011
    71	-3.500000	3.361560816688e-012	1.04091e+012	5.10981e+011
    72	-3.666667	2.856564286936e-012	1.28387e+012	6.30251e+011
    73	-3.833333	3.655789980304e-012	1.04866e+012	5.14789e+011
    74	-4.000000	3.269048098188e-012	1.22372e+012	6.00724e+011
    75	-3.833333	2.868724136873e-012	1.33614e+012	6.55910e+011
    76	-3.666667	2.828101698400e-012	1.29655e+012	6.36474e+011
    77	-3.500000	2.939578918393e-012	1.19098e+012	5.84652e+011
    78	-3.333333	2.580358008254e-012	1.29197e+012	6.34227e+011
    79	-3.166667	2.408400562729e-012	1.31525e+012	6.45656e+011
    80	-3.000000	2.998609328897e-012	1.00091e+012	4.91345e+011
    81	-2.833333	2.380769179151e-012	1.19089e+012	5.84608e+011
    82	-2.666667	2.915148335510e-012	9.14722e+011	4.49037e+011
    83	-2.500000	2.300932434594e-012	1.08668e+012	5.33452e+011
    84	-2.333333	2.396397154137e-012	9.73414e+011	4.77849e+011
    85	-2.166667	2.744208021577e-012	7.89488e+011	3.87560e+011
    86	-2.000000	2.150304429686e-012	9.30229e+011	4.56649e+011
