»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»	 Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp Serial:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 12:49:35
Configured:	08/03/17 12:35:50 PM
Executed:	08/03/17 12:36:28 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	IV
Max Volts:	4.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Monopolar Triangle Volts:	5.00
Preset Period (ms):	2.00
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Drive Voltage	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	9.132496419878e-013	1.67082e+008	3.28049e+008
     2	0.166667	8.257029198339e-012	2.03739e+010	4.00022e+010
     3	0.333333	1.899843171233e-011	1.76013e+010	3.45583e+010
     4	0.500000	3.230520558527e-011	1.54665e+010	3.03670e+010
     5	0.666667	5.982765620991e-011	1.11429e+010	2.18781e+010
     6	0.833333	1.090075255823e-010	7.66456e+009	1.50486e+010
     7	1.000000	4.457976929971e-011	2.24519e+010	4.40820e+010
     8	1.166667	1.564523037629e-011	7.45470e+010	1.46366e+011
     9	1.333333	1.439816106143e-011	9.25871e+010	1.81786e+011
    10	1.500000	1.493001981525e-011	1.00500e+011	1.97322e+011
    11	1.666667	1.593545907939e-011	1.04640e+011	2.05449e+011
    12	1.833333	1.883224495223e-011	9.74040e+010	1.91243e+011
    13	2.000000	2.136082445999e-011	9.35672e+010	1.83710e+011
    14	2.166667	2.390044234746e-011	9.06413e+010	1.77965e+011
    15	2.333333	2.884533905942e-011	8.09296e+010	1.58897e+011
    16	2.500000	3.786580173804e-011	6.60307e+010	1.29645e+011
    17	2.666667	4.516443845294e-011	5.90510e+010	1.15941e+011
    18	2.833333	5.700098240924e-011	4.97026e+010	9.75862e+010
    19	3.000000	6.701087035146e-011	4.47818e+010	8.79247e+010
    20	3.166667	7.969913773862e-011	3.97374e+010	7.80204e+010
    21	3.333333	1.334608078543e-010	2.49815e+010	4.90486e+010
    22	3.500000	2.873267878332e-010	1.21828e+010	2.39197e+010
    23	3.666667	2.328041626160e-010	1.57553e+010	3.09340e+010
    24	3.833333	2.637688774671e-011	1.45352e+011	2.85383e+011
    25	4.000000	2.734680463958e-011	1.46301e+011	2.87247e+011
    26	3.833333	2.684532872644e-011	1.42787e+011	2.80348e+011
    27	3.666667	2.484773304923e-011	1.47634e+011	2.89864e+011
    28	3.500000	2.276120000984e-011	1.53790e+011	3.01951e+011
    29	3.333333	2.131644122080e-011	1.56379e+011	3.07034e+011
    30	3.166667	2.073661501435e-011	1.52797e+011	3.00001e+011
    31	3.000000	1.875349082962e-011	1.60041e+011	3.14225e+011
    32	2.833333	1.771660839009e-011	1.59912e+011	3.13971e+011
    33	2.666667	1.742034682517e-011	1.53167e+011	3.00729e+011
    34	2.500000	1.723824454781e-011	1.45053e+011	2.84797e+011
    35	2.333333	1.528746589120e-011	1.52733e+011	2.99876e+011
    36	2.166667	1.324423520484e-011	1.63668e+011	3.21347e+011
    37	2.000000	1.260537855897e-011	1.58666e+011	3.11525e+011
    38	1.833333	1.147460269730e-011	1.59661e+011	3.13478e+011
    39	1.666667	1.114865850745e-011	1.49520e+011	2.93567e+011
    40	1.500000	1.123569687577e-011	1.33525e+011	2.62163e+011
    41	1.333333	1.183869382958e-011	1.12662e+011	2.21201e+011
    42	1.166667	1.184479876260e-011	9.84785e+010	1.93353e+011
    43	1.000000	1.710560947809e-011	5.84595e+010	1.14779e+011
    44	0.833333	6.060861803068e-011	1.37486e+010	2.69940e+010
    45	0.666667	4.906381986304e-011	1.36078e+010	2.67175e+010
    46	0.500000	2.838097441749e-011	1.76266e+010	3.46080e+010
