»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:		5.12.0
»»»  Vision Version:		5.12.5 (R)
»»»	 Vision Compiled:		2/24/17
»»»  Driver Version:		5.12.4
»»»  Windows Version:		Windows 7
»»»  Processor Information:		x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:		PMF0910-256
»»»  Tester S/N:		PMF0910-256
»»»  Internal Amp Type:		 RTI 100V      
»»»  Internal Amp Serial:		 iAB1-0000     
»»»  Execution Count:		1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:		8/31/2017 - 20:29:39
Configured:		08/31/17 08:19:25 PM
Executed:		08/31/17 08:19:50 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:		63
Lot Name:		
Wafer Name:		
Die Row/Column:		1/1
Capacitor Number:		1
Sample Area (cm2):		1.96e-005
Sample Thickness (µm):		1.00e-001
Mux Loop Adjustment:		Disabled

Amplifier:		Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:		PMF0910-256
Tester Serial Number:		PMF0910-256
Return Signal Amp. Level:		190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:		IV
Max Volts:		1.00
Soak Time (ms):		1.00
Measure Time (ms):		100.00
Step Delay (ms):		0
Preset Monopolar Triangle Volts:		3.00
Preset Period (ms):		2.00
Profile:		Unswitched Triangular
Plot:		ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:		98

Valid Data

Point		Drive Voltage		Current (Amps)		Resistance (Ohms)		Resistivity (Ohms·cm)
     1		0.000000		1.305113782346e-012		4.09204e+008		8.03431e+008
     2		0.041667		8.241658969513e-012		5.16547e+009		1.01419e+010
     3		0.083333		2.042418642806e-011		4.08287e+009		8.01631e+009
     4		0.125000		3.648838988508e-011		3.39564e+009		6.66700e+009
     5		0.166667		6.023353476518e-011		2.77393e+009		5.44634e+009
     6		0.208333		8.970756331547e-011		2.30478e+009		4.52521e+009
     7		0.250000		1.321082878985e-010		1.89308e+009		3.71687e+009
     8		0.291667		1.445308367884e-010		2.01753e+009		3.96122e+009
     9		0.333333		1.768765620603e-010		1.88151e+009		3.69415e+009
    10		0.375000		2.896015385431e-010		1.29430e+009		2.54123e+009
    11		0.416667		4.721148166967e-010		8.86055e+008		1.73968e+009
    12		0.458333		1.123729740943e-009		4.06410e+008		7.97946e+008
    13		0.500000		1.543865120309e-009		3.24376e+008		6.36881e+008
    14		0.541667		1.514087116239e-009		3.57059e+008		7.01050e+008
    15		0.583333		6.764334631249e-010		8.60351e+008		1.68921e+009
    16		0.625000		1.072082775499e-009		5.82835e+008		1.14434e+009
    17		0.666667		2.087125771894e-009		3.19048e+008		6.26419e+008
    18		0.708333		2.169169121361e-009		3.25692e+008		6.39464e+008
    19		0.750000		2.627811325494e-009		2.85426e+008		5.60405e+008
    20		0.791667		2.285736260501e-009		3.45732e+008		6.78811e+008
    21		0.833333		3.461170372745e-009		2.40686e+008		4.72562e+008
    22		0.875000		3.451793933716e-009		2.53717e+008		4.98148e+008
    23		0.916667		3.764162131730e-009		2.43364e+008		4.77821e+008
    24		0.958333		4.029996214589e-009		2.37761e+008		4.66820e+008
    25		1.000000		3.190001644822e-009		3.13475e+008		6.15476e+008
    26		0.958333		4.182943330734e-009		2.29067e+008		4.49751e+008
    27		0.916667		3.934371027090e-009		2.33068e+008		4.57606e+008
    28		0.875000		3.470737346943e-009		2.52508e+008		4.95774e+008
    29		0.833333		3.253607692367e-009		2.56110e+008		5.02847e+008
    30		0.791667		3.474750189737e-009		2.27515e+008		4.46703e+008
    31		0.750000		3.096782757166e-009		2.41906e+008		4.74958e+008
    32		0.708333		2.804327831270e-009		2.52388e+008		4.95539e+008
    33		0.666667		2.569002813943e-009		2.59144e+008		5.08803e+008
    34		0.625000		1.775872040295e-009		3.51725e+008		6.90577e+008
    35		0.583333		8.174872132635e-010		7.11248e+008		1.39646e+009
    36		0.541667		1.360926212583e-009		3.97748e+008		7.80938e+008
    37		0.500000		1.334425207806e-009		3.74773e+008		7.35830e+008
    38		0.458333		1.107644015706e-009		4.13966e+008		8.12780e+008
    39		0.416667		9.664709871291e-010		4.31648e+008		8.47498e+008
    40		0.375000		9.301304035971e-010		4.02579e+008		7.90423e+008
    41		0.333333		8.405178894457e-010		3.96030e+008		7.77566e+008
    42		0.291667		5.862873400047e-010		4.96058e+008		9.73960e+008
    43		0.250000		4.572433984461e-010		5.39780e+008		1.05980e+009
    44		0.208333		3.422004604337e-010		6.03305e+008		1.18453e+009
    45		0.166667		2.285060097764e-010		7.26860e+008		1.42712e+009
    46		0.125000		1.308587818132e-010		9.52080e+008		1.86931e+009
