»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/4/2017 - 8:50:21
Configured:	08/03/17 01:23:53 PM
Executed:	08/04/17 08:49:59 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	0.0003	-18.280165
   2	1.0000e-003	0.0595	-17.975238
   3	1.5000e-003	0.1216	-17.681919
   4	2.0000e-003	0.1836	-17.263225
   5	2.5000e-003	0.2443	-16.529541
   6	3.0000e-003	0.3031	-15.730848
   7	3.5000e-003	0.3616	-14.791300
   8	4.0000e-003	0.4201	-13.831630
   9	4.5000e-003	0.4839	-12.937744
  10	5.0000e-003	0.5424	-11.723452
  11	5.5000e-003	0.6010	-10.761460
  12	6.0000e-003	0.6615	-9.697310
  13	6.5000e-003	0.7199	-8.625421
  14	7.0000e-003	0.7812	-7.667299
  15	7.5000e-003	0.8399	-6.565226
  16	8.0000e-003	0.9039	-5.559120
  17	8.5000e-003	0.9595	-4.496518
  18	9.0000e-003	1.0218	-3.459455
  19	9.5000e-003	1.0850	-2.358157
  20	1.0000e-002	1.1404	-1.308711
  21	1.0500e-002	1.2013	-0.160203
  22	1.1000e-002	1.2611	1.023906
  23	1.1500e-002	1.3215	2.267607
  24	1.2000e-002	1.3844	3.539170
  25	1.2500e-002	1.4384	5.018145
  26	1.3000e-002	1.5010	6.663515
  27	1.3500e-002	1.5619	8.516297
  28	1.4000e-002	1.6216	10.728956
  29	1.4500e-002	1.6818	13.568495
  30	1.5000e-002	1.7413	17.025629
  31	1.5500e-002	1.8005	21.236568
  32	1.6000e-002	1.8604	26.017117
  33	1.6500e-002	1.9198	30.905243
  34	1.7000e-002	1.9810	34.951335
  35	1.7500e-002	2.0425	37.693360
  36	1.8000e-002	2.1009	39.280685
  37	1.8500e-002	2.1621	40.273634
  38	1.9000e-002	2.2219	40.895872
  39	1.9500e-002	2.2832	41.378802
  40	2.0000e-002	2.3432	41.729391
  41	2.0500e-002	2.4014	42.028901
  42	2.1000e-002	2.4627	42.268819
  43	2.1500e-002	2.5224	42.491710
  44	2.2000e-002	2.5829	42.686740
