»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/4/2017 - 8:49:20
Configured:	08/03/17 01:23:53 PM
Executed:	08/04/17 08:48:24 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	1.0000e-003	-0.0018	-20.720240
   2	2.0000e-003	0.0091	-20.713751
   3	3.0000e-003	0.0234	-20.641450
   4	4.0000e-003	0.0341	-20.591396
   5	5.0000e-003	0.0456	-20.556172
   6	6.0000e-003	0.0585	-20.488506
   7	7.0000e-003	0.0716	-20.522802
   8	8.0000e-003	0.0828	-20.275311
   9	9.0000e-003	0.0925	-20.240087
  10	1.0000e-002	0.1060	-20.181690
  11	1.1000e-002	0.1192	-20.067677
  12	1.2000e-002	0.1308	-19.982399
  13	1.3000e-002	0.1444	-19.880437
  14	1.4000e-002	0.1546	-19.763643
  15	1.5000e-002	0.1675	-19.613479
  16	1.6000e-002	0.1788	-19.481855
  17	1.7000e-002	0.1883	-19.344668
  18	1.8000e-002	0.2048	-19.205628
  19	1.9000e-002	0.2122	-19.012825
  20	2.0000e-002	0.2270	-18.849685
  21	2.1000e-002	0.2390	-18.688398
  22	2.2000e-002	0.2532	-18.497450
  23	2.3000e-002	0.2633	-18.302793
  24	2.4000e-002	0.2754	-18.137799
  25	2.5000e-002	0.2824	-17.928312
  26	2.6000e-002	0.3003	-17.503775
  27	2.7000e-002	0.3113	-17.359174
  28	2.8000e-002	0.3209	-17.227549
  29	2.9000e-002	0.3348	-17.025477
  30	3.0000e-002	0.3458	-16.867898
  31	3.1000e-002	0.3578	-16.692707
  32	3.2000e-002	0.3703	-16.504540
  33	3.3000e-002	0.3816	-16.315445
  34	3.4000e-002	0.3963	-16.092980
  35	3.5000e-002	0.4043	-15.894616
  36	3.6000e-002	0.4205	-15.676787
  37	3.7000e-002	0.4305	-15.430222
  38	3.8000e-002	0.4419	-15.223516
  39	3.9000e-002	0.4544	-15.016809
  40	4.0000e-002	0.4650	-14.814737
  41	4.1000e-002	0.4783	-14.569099
  42	4.2000e-002	0.4881	-14.354978
  43	4.3000e-002	0.5035	-14.128805
  44	4.4000e-002	0.5137	-13.667192
  45	4.5000e-002	0.5283	-13.510540
  46	4.6000e-002	0.5378	-13.364084
  47	4.7000e-002	0.5525	-13.192601
  48	4.8000e-002	0.5639	-12.993310
  49	4.9000e-002	0.5761	-12.788458
  50	5.0000e-002	0.5873	-12.609559
  51	5.1000e-002	0.5969	-12.406560
  52	5.2000e-002	0.6116	-12.164630
  53	5.3000e-002	0.6221	-11.961632
  54	5.4000e-002	0.6342	-11.713213
  55	5.5000e-002	0.6472	-11.474064
  56	5.6000e-002	0.6588	-11.272919
  57	5.7000e-002	0.6718	-11.065286
  58	5.8000e-002	0.6826	-10.866921
  59	5.9000e-002	0.6960	-10.638895
  60	6.0000e-002	0.7053	-10.431262
  61	6.1000e-002	0.7191	-10.217140
  62	6.2000e-002	0.7290	-9.765723
  63	6.3000e-002	0.7413	-9.641513
  64	6.4000e-002	0.7549	-9.471884
  65	6.5000e-002	0.7684	-9.266105
  66	6.6000e-002	0.7781	-9.095549
  67	6.7000e-002	0.7928	-8.871231
  68	6.8000e-002	0.8023	-8.682136
  69	6.9000e-002	0.8121	-8.457818
  70	7.0000e-002	0.8272	-8.242769
  71	7.1000e-002	0.8381	-8.016597
  72	7.2000e-002	0.8515	-7.796913
  73	7.3000e-002	0.8611	-7.577229
  74	7.4000e-002	0.8744	-7.371450
  75	7.5000e-002	0.8878	-7.148986
  76	7.6000e-002	0.8990	-6.933937
  77	7.7000e-002	0.9095	-6.717034
  78	7.8000e-002	0.9227	-6.489008
  79	7.9000e-002	0.9345	-6.261909
  80	8.0000e-002	0.9448	-5.804930
  81	8.1000e-002	0.9583	-5.654766
  82	8.2000e-002	0.9719	-5.472160
  83	8.3000e-002	0.9843	-5.253404
  84	8.4000e-002	0.9945	-5.051332
  85	8.5000e-002	1.0056	-4.822379
  86	8.6000e-002	1.0182	-4.621234
  87	8.7000e-002	1.0281	-4.393208
  88	8.8000e-002	1.0403	-4.142009
  89	8.9000e-002	1.0542	-3.925106
  90	9.0000e-002	1.0683	-3.691518
  91	9.1000e-002	1.0793	-3.427342
  92	9.2000e-002	1.0901	-3.200243
  93	9.3000e-002	1.1028	-2.919382
  94	9.4000e-002	1.1158	-2.692282
  95	9.5000e-002	1.1255	-2.420691
  96	9.6000e-002	1.1386	-2.150952
  97	9.7000e-002	1.1509	-1.913657
  98	9.8000e-002	1.1655	-1.403843
  99	9.9000e-002	1.1760	-1.193429
 100	1.0000e-001	1.1880	-0.967257
 101	1.0100e-001	1.1987	-0.709569
 102	1.0200e-001	1.2107	-0.465785
 103	1.0300e-001	1.2231	-0.198828
 104	1.0400e-001	1.2350	0.068130
 105	1.0500e-001	1.2476	0.339722
 106	1.0600e-001	1.2611	0.661368
 107	1.0700e-001	1.2717	0.964476
 108	1.0800e-001	1.2824	1.274072
 109	1.0900e-001	1.2958	1.653188
 110	1.1000e-001	1.3081	1.990593
 111	1.1100e-001	1.3187	2.340047
 112	1.1200e-001	1.3305	2.693209
 113	1.1300e-001	1.3413	3.088084
 114	1.1400e-001	1.3546	3.506131
 115	1.1500e-001	1.3686	3.871344
 116	1.1600e-001	1.3806	4.541518
 117	1.1700e-001	1.3899	4.917853
 118	1.1800e-001	1.3997	5.358147
 119	1.1900e-001	1.4151	5.805857
 120	1.2000e-001	1.4275	6.321233
 121	1.2100e-001	1.4413	6.863490
 122	1.2200e-001	1.4511	7.409454
 123	1.2300e-001	1.4621	8.061089
 124	1.2400e-001	1.4740	8.676574
 125	1.2500e-001	1.4883	9.368995
 126	1.2600e-001	1.4982	10.103127
 127	1.2700e-001	1.5114	10.887314
 128	1.2800e-001	1.5234	11.708578
 129	1.2900e-001	1.5337	12.540039
 130	1.3000e-001	1.5456	13.448435
 131	1.3100e-001	1.5598	14.430059
 132	1.3200e-001	1.5703	15.431149
 133	1.3300e-001	1.5833	16.505467
 134	1.3400e-001	1.5942	17.877330
 135	1.3500e-001	1.6051	18.965552
 136	1.3600e-001	1.6209	20.166859
 137	1.3700e-001	1.6313	21.371875
 138	1.3800e-001	1.6433	22.610260
