»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2017 - 9:24:22
Configured:	06/24/17 10:58:24 AM
Executed:	06/27/17 09:23:40 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	 
Volts:	4.00
Field:	400.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	-0.167847	-24.157803
   2	2.0000e-003	1.739502	-24.134130
   3	3.0000e-003	3.219604	-24.048044
   4	4.0000e-003	4.699707	-23.953350
   5	5.0000e-003	6.507874	-23.862960
   6	6.0000e-003	7.934570	-23.785483
   7	7.0000e-003	9.452820	-23.660658
   8	8.0000e-003	11.070251	-23.486335
   9	9.0000e-003	12.779236	-23.299099
  10	1.0000e-002	14.045715	-23.120471
  11	1.1000e-002	16.136169	-22.905256
  12	1.2000e-002	17.425537	-22.707259
  13	1.3000e-002	19.134521	-22.504958
  14	1.4000e-002	20.645142	-22.240244
  15	1.5000e-002	22.148132	-22.005661
  16	1.6000e-002	23.994446	-21.704361
  17	1.7000e-002	25.527954	-21.480538
  18	1.8000e-002	27.091980	-21.162021
  19	1.9000e-002	28.701782	-20.910220
  20	2.0000e-002	30.471802	-20.602464
  21	2.1000e-002	31.822205	-20.354967
  22	2.2000e-002	33.828735	-20.029994
  23	2.3000e-002	35.057068	-19.748063
  24	2.4000e-002	36.758423	-19.427394
  25	2.5000e-002	38.177490	-19.119637
  26	2.6000e-002	40.107727	-18.807576
  27	2.7000e-002	41.473389	-18.495516
  28	2.8000e-002	43.113708	-18.241563
  29	2.9000e-002	44.769287	-17.923046
  30	3.0000e-002	46.318054	-17.608833
  31	3.1000e-002	47.927856	-17.273099
  32	3.2000e-002	49.575806	-16.945973
  33	3.3000e-002	51.078796	-16.640369
  34	3.4000e-002	52.673340	-16.330460
  35	3.5000e-002	54.229736	-16.082964
  36	3.6000e-002	55.831909	-15.702034
  37	3.7000e-002	57.601929	-15.366300
  38	3.8000e-002	59.181213	-15.108043
  39	3.9000e-002	60.569763	-14.843329
  40	4.0000e-002	62.385559	-14.488226
  41	4.1000e-002	63.880920	-14.133122
  42	4.2000e-002	65.483093	-13.816757
  43	4.3000e-002	67.100525	-13.515457
  44	4.4000e-002	68.748474	-13.196940
  45	4.5000e-002	70.335388	-12.863358
  46	4.6000e-002	72.105408	-12.581427
  47	4.7000e-002	73.242188	-12.262910
  48	4.8000e-002	75.279236	-11.961610
  49	4.9000e-002	76.637268	-11.621571
  50	5.0000e-002	78.392029	-11.315967
  51	5.1000e-002	80.062866	-10.943646
  52	5.2000e-002	81.436157	-10.689694
  53	5.3000e-002	83.221436	-10.369024
  54	5.4000e-002	84.785461	-10.078485
  55	5.5000e-002	86.479187	-9.792250
  56	5.6000e-002	87.913513	-9.460820
  57	5.7000e-002	89.385986	-9.157368
  58	5.8000e-002	91.232300	-8.830242
  59	5.9000e-002	92.750549	-8.500964
  60	6.0000e-002	94.322205	-8.141556
  61	6.1000e-002	96.008301	-7.833800
  62	6.2000e-002	97.473145	-7.498066
  63	6.3000e-002	99.235535	-7.147266
  64	6.4000e-002	100.532532	-6.813684
  65	6.5000e-002	102.470398	-6.488711
  66	6.6000e-002	103.965759	-6.140064
  67	6.7000e-002	105.484009	-5.821546
  68	6.8000e-002	107.269287	-5.483660
  69	6.9000e-002	109.054565	-5.117796
