»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2017 - 9:25:37
Configured:	06/24/17 10:58:24 AM
Executed:	06/27/17 09:25:10 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	 
Volts:	4.00
Field:	400.00 (kV/cm)
Hysteresis Period (ms):	8.00e-002
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-004	4.180908	-19.385602
   2	2.0000e-004	8.041382	-19.207299
   3	3.0000e-004	12.260437	-19.093443
   4	4.0000e-004	16.052246	-18.833507
   5	5.0000e-004	20.019531	-18.567127
   6	6.0000e-004	24.070740	-18.191187
   7	7.0000e-004	28.236389	-17.823840
   8	8.0000e-004	31.936646	-17.377009
   9	9.0000e-004	36.018372	-16.870028
  10	1.0000e-003	39.741516	-16.360898
  11	1.1000e-003	43.937683	-15.707837
  12	1.2000e-003	47.966003	-15.138557
  13	1.3000e-003	51.902771	-14.506978
  14	1.4000e-003	55.999756	-13.825990
  15	1.5000e-003	60.295105	-13.162188
  16	1.6000e-003	64.239502	-12.410308
  17	1.7000e-003	67.741394	-11.729320
  18	1.8000e-003	71.907043	-10.988182
  19	1.9000e-003	75.881958	-10.264229
  20	2.0000e-003	80.154419	-9.578945
  21	2.1000e-003	84.030151	-8.854992
  22	2.2000e-003	87.959290	-8.017184
  23	2.3000e-003	91.926575	-7.284638
  24	2.4000e-003	95.985413	-6.588613
  25	2.5000e-003	100.067139	-5.926959
  26	2.6000e-003	104.103088	-5.117077
  27	2.7000e-003	108.139038	-4.326529
  28	2.8000e-003	111.984253	-3.576798
  29	2.9000e-003	116.111755	-2.921589
  30	3.0000e-003	119.911194	-2.294307
  31	3.1000e-003	124.526978	-1.454350
  32	3.2000e-003	128.761292	-0.631579
  33	3.3000e-003	131.767273	0.139635
  34	3.4000e-003	136.062622	0.844253
  35	3.5000e-003	140.014648	1.563909
  36	3.6000e-003	144.058228	2.571428
  37	3.7000e-003	147.712708	3.338345
  38	3.8000e-003	151.885986	4.184746
  39	3.9000e-003	156.105042	4.943071
  40	4.0000e-003	159.980774	5.879698
  41	4.1000e-003	164.009094	6.962404
  42	4.2000e-003	167.686462	7.967774
  43	4.3000e-003	171.798706	8.953811
  44	4.4000e-003	175.720215	10.079482
  45	4.5000e-003	179.641724	11.263155
  46	4.6000e-003	183.677673	12.713208
  47	4.7000e-003	187.705994	14.143927
  48	4.8000e-003	191.719055	15.694947
  49	4.9000e-003	195.686340	17.284635
  50	5.0000e-003	199.241638	18.955956
  51	5.1000e-003	203.506470	21.230929
  52	5.2000e-003	207.275391	23.170778
  53	5.3000e-003	211.021423	25.361969
  54	5.4000e-003	215.400696	27.432860
  55	5.5000e-003	219.116211	29.735760
  56	5.6000e-003	223.335266	32.519862
  57	5.7000e-003	227.165222	34.642311
  58	5.8000e-003	231.208801	36.698164
  59	5.9000e-003	235.855103	38.461858
  60	6.0000e-003	239.624023	40.062288
  61	6.1000e-003	244.155884	42.070880
  62	6.2000e-003	248.107910	42.547786
  63	6.3000e-003	252.677917	42.734682
  64	6.4000e-003	257.118225	42.897947
  65	6.5000e-003	260.459900	43.095584
  66	6.6000e-003	264.244080	43.944134
  67	6.7000e-003	268.432617	43.907614
  68	6.8000e-003	272.277832	43.819537
  69	6.9000e-003	276.268005	43.800203
  70	7.0000e-003	280.418396	43.836723
  71	7.1000e-003	284.416199	44.646604
  72	7.2000e-003	288.291931	44.483339
  73	7.3000e-003	292.610168	44.360890
  74	7.4000e-003	296.340942	44.401706
  75	7.5000e-003	300.788879	44.453264
  76	7.6000e-003	304.389954	45.151438
  77	7.7000e-003	308.479309	44.994617
  78	7.8000e-003	312.339783	44.870020
  79	7.9000e-003	316.841125	44.885058
  80	8.0000e-003	320.365906	44.893650
  81	8.1000e-003	324.462891	45.542415
  82	8.2000e-003	328.514099	45.445745
  83	8.3000e-003	332.824707	45.346926
  84	8.4000e-003	336.196899	45.334037
  85	8.5000e-003	340.293884	45.340482
  86	8.6000e-003	344.635010	46.012877
  87	8.7000e-003	348.571777	45.802351
  88	8.8000e-003	352.378845	45.770127
  89	8.9000e-003	356.483459	45.737904
  90	9.0000e-003	360.313416	45.761534
  91	9.1000e-003	364.387512	46.390965
  92	9.2000e-003	368.347168	46.229848
  93	9.3000e-003	372.642517	46.105251
  94	9.4000e-003	376.586914	46.064434
  95	9.5000e-003	381.233215	46.090213
  96	9.6000e-003	383.872986	46.839944
  97	9.7000e-003	388.671875	46.633714
  98	9.8000e-003	392.272949	46.522007
  99	9.9000e-003	396.469116	46.532748
 100	1.0000e-002	400.413513	46.537044
 101	1.0100e-002	395.942688	47.185809
 102	1.0200e-002	392.211914	46.805573
 103	1.0300e-002	387.702942	46.629418
 104	1.0400e-002	384.178162	46.522007
 105	1.0500e-002	379.890442	46.363038
 106	1.0600e-002	375.007629	46.936614
 107	1.0700e-002	372.383118	46.605787
 108	1.0800e-002	367.820740	46.386668
 109	1.0900e-002	363.914490	46.259923
 110	1.1000e-002	360.061646	46.070879
 111	1.1100e-002	356.025696	46.700309
 112	1.1200e-002	351.943970	46.431781
 113	1.1300e-002	347.572327	46.171846
 114	1.1400e-002	344.047546	46.040804
 115	1.1500e-002	339.744568	45.877538
 116	1.1600e-002	336.013794	46.519858
 117	1.1700e-002	331.962585	46.154660
 118	1.1800e-002	327.903748	45.864649
 119	1.1900e-002	323.738098	45.783016
 120	1.2000e-002	319.892883	45.667012
 121	1.2100e-002	316.024780	46.158956
 122	1.2200e-002	311.401367	45.853908
 123	1.2300e-002	308.166504	45.664864
 124	1.2400e-002	303.543091	45.529526
 125	1.2500e-002	300.132751	45.387743
 126	1.2600e-002	295.906067	45.957023
 127	1.2700e-002	291.709900	45.563897
 128	1.2800e-002	288.024902	45.336185
 129	1.2900e-002	284.187317	45.164327
 130	1.3000e-002	279.968262	45.091287
 131	1.3100e-002	276.084900	45.690643
 132	1.3200e-002	271.919250	45.282480
 133	1.3300e-002	267.921448	45.050471
 134	1.3400e-002	264.060974	45.016099
 135	1.3500e-002	259.872437	44.852834
 136	1.3600e-002	255.516052	45.389891
 137	1.3700e-002	250.938416	44.990321
 138	1.3800e-002	248.184204	44.796980
 139	1.3900e-002	243.766785	44.659494
 140	1.4000e-002	239.807129	44.440375
 141	1.4100e-002	236.137390	45.018248
 142	1.4200e-002	231.903076	44.734682
 143	1.4300e-002	227.844238	44.444671
 144	1.4400e-002	223.960876	44.292147
 145	1.4500e-002	219.863892	44.122437
 146	1.4600e-002	216.079712	44.728237
 147	1.4700e-002	212.158203	44.468301
 148	1.4800e-002	207.656860	44.118140
 149	1.4900e-002	203.849792	43.950579
 150	1.5000e-002	200.065613	43.834574
 151	1.5100e-002	195.739746	44.457560
 152	1.5200e-002	192.039490	43.989247
 153	1.5300e-002	187.629700	43.783017
 154	1.5400e-002	184.143066	43.613307
 155	1.5500e-002	179.832458	43.505896
 156	1.5600e-002	175.697327	44.107399
 157	1.5700e-002	171.813965	43.669161
 158	1.5800e-002	167.991638	43.435004
 159	1.5900e-002	163.887024	43.241664
 160	1.6000e-002	159.828186	43.162179
 161	1.6100e-002	155.906677	43.744349
 162	1.6200e-002	151.977539	43.338334
 163	1.6300e-002	147.773743	43.041879
 164	1.6400e-002	143.814087	42.829204
 165	1.6500e-002	139.839172	42.764757
 166	1.6600e-002	136.116028	43.355520
 167	1.6700e-002	131.820679	42.945208
 168	1.6800e-002	127.929688	42.672384
 169	1.6900e-002	123.252869	42.395262
 170	1.7000e-002	120.285034	42.317926
 171	1.7100e-002	116.004944	42.859279
 172	1.7200e-002	111.778259	42.461857
 173	1.7300e-002	107.978821	42.066584
 174	1.7400e-002	103.904724	41.920504
 175	1.7500e-002	99.960327	41.725015
 176	1.7600e-002	95.733643	42.302889
 177	1.7700e-002	91.758728	41.845316
 178	1.7800e-002	87.913513	41.480118
 179	1.7900e-002	83.869934	41.280332
 180	1.8000e-002	80.009460	40.964543
 181	1.8100e-002	75.721741	41.626197
 182	1.8200e-002	72.029114	41.127808
 183	1.8300e-002	67.909241	40.653050
 184	1.8400e-002	64.147949	40.403856
 185	1.8500e-002	59.799194	39.991396
 186	1.8600e-002	55.961609	40.618678
 187	1.8700e-002	52.162170	40.012878
 188	1.8800e-002	47.805786	39.482266
 189	1.8900e-002	44.021606	38.979581
 190	1.9000e-002	40.176392	38.569270
 191	1.9100e-002	35.949707	39.108475
 192	1.9200e-002	31.921387	38.307186
 193	1.9300e-002	27.923584	37.553158
 194	1.9400e-002	24.169922	37.052621
 195	1.9500e-002	20.126343	36.421043
 196	1.9600e-002	16.052246	36.949507
 197	1.9700e-002	12.382507	35.948433
 198	1.9800e-002	8.384705	35.078401
 199	1.9900e-002	4.066467	34.444674
 200	2.0000e-002	-0.053406	33.694942
 201	2.0100e-002	-4.371643	34.040807
 202	2.0200e-002	-7.591248	32.902247
 203	2.0300e-002	-11.772156	31.868949
 204	2.0400e-002	-15.907288	31.121366
 205	2.0500e-002	-19.844055	30.281410
 206	2.0600e-002	-23.612976	30.373783
 207	2.0700e-002	-27.862549	29.172924
 208	2.0800e-002	-31.845093	28.036512
 209	2.0900e-002	-35.568237	27.048328
 210	2.1000e-002	-39.718628	26.066588
 211	2.1100e-002	-43.785095	25.892582
 212	2.1200e-002	-47.607422	24.390971
 213	2.1300e-002	-51.544189	23.114924
 214	2.1400e-002	-55.374146	21.901176
 215	2.1500e-002	-59.837341	20.517717
 216	2.1600e-002	-63.827515	20.103109
 217	2.1700e-002	-67.268372	18.369490
 218	2.1800e-002	-71.479797	16.711059
 219	2.1900e-002	-75.370789	15.147149
 220	2.2000e-002	-79.277039	13.581092
 221	2.2100e-002	-83.213806	12.764766
 222	2.2200e-002	-87.112427	10.900104
 223	2.2300e-002	-91.514587	8.979589
 224	2.2400e-002	-95.375061	7.293231
 225	2.2500e-002	-99.220276	5.559612
 226	2.2600e-002	-103.294373	4.558538
 227	2.2700e-002	-107.353210	2.663802
 228	2.2800e-002	-111.557007	0.702470
 229	2.2900e-002	-115.440369	-0.947368
 230	2.3000e-002	-119.644165	-2.575724
 231	2.3100e-002	-123.832703	-3.667024
 232	2.3200e-002	-128.257751	-5.374864
 233	2.3300e-002	-131.210327	-7.149300
 234	2.3400e-002	-135.551453	-8.554240
 235	2.3500e-002	-139.656067	-9.937699
 236	2.3600e-002	-143.684387	-10.790545
 237	2.3700e-002	-147.445679	-12.223412
 238	2.3800e-002	-151.573181	-13.617612
 239	2.3900e-002	-155.639648	-14.769061
 240	2.4000e-002	-159.934998	-15.918363
 241	2.4100e-002	-163.703918	-16.786247
 242	2.4200e-002	-167.617798	-17.965623
 243	2.4300e-002	-171.768188	-19.140704
 244	2.4400e-002	-175.743103	-20.131036
 245	2.4500e-002	-179.679871	-21.207298
 246	2.4600e-002	-183.525085	-21.982808
 247	2.4700e-002	-187.881470	-23.183667
