»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/8/2018 - 15:30:6
Configured:	05/08/18 02:20:49 PM
Executed:	05/08/18 03:29:44 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	8.00e-002

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	2.40
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	DisabledProfile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	0.190735	-29.975332
   2	2.0000e-003	1.249313	-30.005989
   3	3.0000e-003	2.565384	-29.965112
   4	4.0000e-003	3.576279	-30.036647
   5	5.0000e-003	4.720688	-29.888469
   6	6.0000e-003	6.017685	-29.847592
   7	7.0000e-003	7.314682	-29.929345
   8	8.0000e-003	8.487701	-29.837373
   9	9.0000e-003	9.593964	-29.791387
  10	1.0000e-002	10.204315	-29.903798
  11	1.1000e-002	12.416840	-29.765839
  12	1.2000e-002	13.160706	-29.919126
  13	1.3000e-002	14.352798	-29.653428
  14	1.4000e-002	15.649796	-29.898688
  15	1.5000e-002	17.166138	-29.939565
  16	1.6000e-002	17.986298	-29.760729
  17	1.7000e-002	19.340515	-29.719853
  18	1.8000e-002	20.599365	-29.719853
  19	1.9000e-002	21.867752	-29.653428
  20	2.0000e-002	22.983551	-29.770949
  21	2.1000e-002	23.698807	-29.939565
  22	2.2000e-002	25.367737	-29.622771
  23	2.3000e-002	26.521683	-29.622771
  24	2.4000e-002	27.656555	-29.929345
  25	2.5000e-002	28.505325	-29.326415
  26	2.6000e-002	29.582977	-29.704524
  27	2.7000e-002	31.223297	-29.382621
  28	2.8000e-002	32.472610	-29.423497
  29	2.9000e-002	33.845901	-29.638100
  30	3.0000e-002	34.790039	-29.433716
  31	3.1000e-002	36.010742	-29.469483
  32	3.2000e-002	37.546158	-29.362182
  33	3.3000e-002	38.375854	-29.285539
  34	3.4000e-002	39.625168	-29.295758
  35	3.5000e-002	40.855408	-29.214005
  36	3.6000e-002	41.809082	-29.091375
  37	3.7000e-002	43.468475	-29.101594
  38	3.8000e-002	44.212341	-29.050498
  39	3.9000e-002	45.766830	-29.060717
  40	4.0000e-002	46.787262	-28.907430
  41	4.1000e-002	48.131943	-28.544650
  42	4.2000e-002	49.314499	-28.769471
  43	4.3000e-002	50.630569	-28.631513
