»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/8/2018 - 15:28:19
Configured:	05/08/18 02:20:49 PM
Executed:	05/08/18 03:27:13 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	8.00e-002

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	2.40
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	DisabledProfile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	-0.143051	-35.910338
   2	1.0000e-003	2.985001	-35.978641
   3	1.5000e-003	5.950928	-35.920096
   4	2.0000e-003	8.955002	-35.817641
   5	2.5000e-003	12.102127	-35.876187
   6	3.0000e-003	14.696121	-35.881066
   7	3.5000e-003	17.795563	-35.710308
   8	4.0000e-003	21.171570	-35.710308
   9	4.5000e-003	24.137497	-35.710308
  10	5.0000e-003	26.931763	-35.720065
  11	5.5000e-003	30.040741	-35.500520
  12	6.0000e-003	33.006668	-35.481005
  13	6.5000e-003	36.182404	-35.407823
  14	7.0000e-003	38.938522	-35.271217
  15	7.5000e-003	41.866302	-35.041914
  16	8.0000e-003	44.908524	-35.080944
  17	8.5000e-003	47.655106	-34.919944
  18	9.0000e-003	51.021576	-34.851641
  19	9.5000e-003	53.815842	-34.641853
  20	1.0000e-002	56.915283	-34.456459
  21	1.0500e-002	59.795380	-34.310095
  22	1.1000e-002	63.018799	-34.119822
  23	1.1500e-002	65.984726	-33.910034
  24	1.2000e-002	68.979263	-33.646579
  25	1.2500e-002	71.916580	-33.305064
  26	1.3000e-002	74.815750	-33.173337
  27	1.3500e-002	78.125000	-32.783034
  28	1.4000e-002	80.957413	-32.509821
  29	1.4500e-002	84.095001	-32.173185
  30	1.5000e-002	86.669922	-31.826791
  31	1.5500e-002	89.712143	-31.519427
  32	1.6000e-002	93.126297	-31.094972
  33	1.6500e-002	95.787048	-30.665638
  34	1.7000e-002	98.743439	-30.255820
  35	1.7500e-002	101.795197	-29.850880
  36	1.8000e-002	104.560852	-29.280062
  37	1.8500e-002	107.622147	-28.719001
  38	1.9000e-002	110.635757	-28.167698
  39	1.9500e-002	113.563538	-27.582243
  40	2.0000e-002	116.710663	-27.099242
  41	2.0500e-002	119.609833	-26.308878
  42	2.1000e-002	122.537613	-25.572181
  43	2.1500e-002	125.885010	-24.796453
  44	2.2000e-002	128.831863	-23.928029
  45	2.2500e-002	131.816864	-23.162058
  46	2.3000e-002	134.487152	-22.137512
  47	2.3500e-002	137.491226	-21.156876
  48	2.4000e-002	140.485764	-20.078663
  49	2.4500e-002	143.823624	-18.824814
  50	2.5000e-002	146.560669	-17.702692
  51	2.5500e-002	149.555206	-16.487873
  52	2.6000e-002	152.683258	-14.990084
  53	2.6500e-002	155.248642	-13.414235
  54	2.7000e-002	158.071518	-11.750567
  55	2.7500e-002	161.380768	-10.101536
  56	2.8000e-002	164.308548	-8.315899
  57	2.8500e-002	167.264938	-6.144837
