»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/15/2018 - 20:27:43
Configured:	05/15/18 08:22:15 PM
Executed:	05/15/18 08:27:18 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	0.061035	-21.717372
   2	2.0000e-003	1.228333	-21.710880
   3	3.0000e-003	2.365112	-21.581581
   4	4.0000e-003	3.578186	-21.473381
   5	5.0000e-003	4.905701	-21.417117
   6	6.0000e-003	5.897522	-21.333262
   7	7.0000e-003	7.125854	-21.210996
   8	8.0000e-003	8.346558	-21.110370
   9	9.0000e-003	9.437561	-20.969169
  10	1.0000e-002	10.887146	-20.828509
  11	1.1000e-002	11.741638	-20.634290
  12	1.2000e-002	13.084412	-20.435202
  13	1.3000e-002	13.427734	-20.250180
  14	1.4000e-002	15.632629	-19.901234
  15	1.5000e-002	16.830444	-19.628570
  16	1.6000e-002	18.013000	-19.309380
  17	1.7000e-002	19.035339	-18.902007
  18	1.8000e-002	20.141602	-18.610949
  19	1.9000e-002	21.392822	-18.175444
  20	2.0000e-002	22.819519	-17.779973
  21	2.1000e-002	23.956299	-17.307138
  22	2.2000e-002	25.009155	-16.812123
  23	2.3000e-002	26.344299	-16.308452
  24	2.4000e-002	27.427673	-15.731205
  25	2.5000e-002	28.648376	-15.177761
  26	2.6000e-002	29.937744	-14.535053
  27	2.7000e-002	31.127930	-13.879361
  28	2.8000e-002	32.318115	-13.233407
  29	2.9000e-002	33.386230	-12.425693
  30	3.0000e-002	34.774780	-11.714278
  31	3.1000e-002	35.758972	-10.948222
  32	3.2000e-002	37.078857	-10.121032
  33	3.3000e-002	38.169861	-9.263006
  34	3.4000e-002	39.649963	-8.377389
  35	3.5000e-002	40.847778	-7.489066
  36	3.6000e-002	41.839600	-6.579645
  37	3.7000e-002	42.770386	-5.626943
  38	3.8000e-002	44.395447	-4.685603
  39	3.9000e-002	45.280457	-3.672310
  40	4.0000e-002	46.501160	-2.669836
  41	4.1000e-002	47.973633	-1.692790
  42	4.2000e-002	49.057007	-0.668676
  43	4.3000e-002	50.125122	0.346240
  44	4.4000e-002	51.452637	1.381174
  45	4.5000e-002	52.452087	2.378778
  46	4.6000e-002	54.016113	3.383956
  47	4.7000e-002	55.030823	4.388053
  48	4.8000e-002	55.999756	5.403510
  49	4.9000e-002	56.587219	6.325916
  50	5.0000e-002	58.601379	7.307831
  51	5.1000e-002	60.012817	8.199399
  52	5.2000e-002	61.126709	9.110444
  53	5.3000e-002	62.309265	9.980913
  54	5.4000e-002	63.331604	10.853547
  55	5.5000e-002	64.567566	11.641784
  56	5.6000e-002	65.864563	12.432726
  57	5.7000e-002	66.818237	13.190127
  58	5.8000e-002	68.428040	13.944822
  59	5.9000e-002	69.625854	14.663270
  60	6.0000e-002	70.564270	15.331406
  61	6.1000e-002	71.624756	15.989262
  62	6.2000e-002	72.998047	16.630347
  63	6.3000e-002	74.348450	17.247087
  64	6.4000e-002	75.500488	17.836778
  65	6.5000e-002	76.042175	18.396172
  66	6.6000e-002	78.201294	18.997223
  67	6.7000e-002	79.154968	19.513878
  68	6.8000e-002	80.375671	20.081388
  69	6.9000e-002	81.581116	20.581272
  70	7.0000e-002	82.771301	21.068172
  71	7.1000e-002	83.694458	21.574007
  72	7.2000e-002	85.067749	22.028988
  73	7.3000e-002	86.174011	22.514807
  74	7.4000e-002	87.524414	22.953558
  75	7.5000e-002	88.569641	23.370128
  76	7.6000e-002	89.782715	23.840257
  77	7.7000e-002	91.117859	24.266024
  78	7.8000e-002	92.216492	24.686923
  79	7.9000e-002	93.452454	25.099165
  80	8.0000e-002	94.764709	25.498423
  81	8.1000e-002	95.939636	25.935551
  82	8.2000e-002	96.931458	26.285578
  83	8.3000e-002	98.487854	26.606391
  84	8.4000e-002	99.578857	27.042979
  85	8.5000e-002	100.601196	27.344316
  86	8.6000e-002	102.058411	27.715442
  87	8.7000e-002	103.157043	28.027058
  88	8.8000e-002	104.454041	28.343002
  89	8.9000e-002	105.476379	28.650290
  90	9.0000e-002	106.719971	28.941889
  91	9.1000e-002	107.963562	29.249177
  92	9.2000e-002	109.603882	29.522924
  93	9.3000e-002	110.359192	29.767456
  94	9.4000e-002	111.442566	29.937871
  95	9.5000e-002	112.655640	30.243536
  96	9.6000e-002	114.006042	30.487527
  97	9.7000e-002	115.028381	30.692025
  98	9.8000e-002	116.424561	30.899228
  99	9.9000e-002	117.576599	31.095070
 100	1.0000e-001	118.644714	31.260616
 101	1.0100e-001	120.193481	31.438605
 102	1.0200e-001	121.231079	31.594413
 103	1.0300e-001	122.650146	31.742648
 104	1.0400e-001	123.497009	31.896833
 105	1.0500e-001	124.740601	31.998000
 106	1.0600e-001	125.938416	32.181940
 107	1.0700e-001	127.159119	32.326928
 108	1.0800e-001	128.356934	32.456768
 109	1.0900e-001	129.722595	32.605543
 110	1.1000e-001	130.638123	32.689398
 111	1.1100e-001	131.851196	32.836009
 112	1.1200e-001	132.942200	32.944209
 113	1.1300e-001	134.353638	33.082705
 114	1.1400e-001	135.566711	33.173052
 115	1.1500e-001	136.764526	33.277465
 116	1.1600e-001	137.748718	33.402977
 117	1.1700e-001	139.350891	33.513882
 118	1.1800e-001	140.327454	33.621541
 119	1.1900e-001	141.204834	33.730823
 120	1.2000e-001	142.845154	33.832531
 121	1.2100e-001	144.485474	33.972650
 122	1.2200e-001	145.217896	34.034865
 123	1.2300e-001	146.438599	34.127377
 124	1.2400e-001	147.491455	34.243692
 125	1.2500e-001	148.773193	34.348105
 126	1.2600e-001	149.833679	34.416271
 127	1.2700e-001	151.283264	34.519061
 128	1.2800e-001	152.351379	34.589932
 129	1.2900e-001	153.785706	34.728969
 130	1.3000e-001	154.685974	34.787397
 131	1.3100e-001	156.112671	34.886400
 132	1.3200e-001	157.096863	34.965386
 133	1.3300e-001	158.508301	35.030847
 134	1.3400e-001	159.698486	35.134178
 135	1.3500e-001	160.736084	35.227230
 136	1.3600e-001	161.972046	35.320282
 137	1.3700e-001	163.169861	35.410629
 138	1.3800e-001	164.375305	35.473385
 139	1.3900e-001	165.443420	35.562650
 140	1.4000e-001	166.877747	35.665981
 141	1.4100e-001	167.877197	35.739557
 142	1.4200e-001	169.158936	35.810428
 143	1.4300e-001	170.433044	35.894283
 144	1.4400e-001	172.050476	36.071190
 145	1.4500e-001	172.821045	36.046304
 146	1.4600e-001	173.942566	36.138815
 147	1.4700e-001	175.132751	36.204276
 148	1.4800e-001	176.483154	36.297869
 149	1.4900e-001	177.192688	36.357920
 150	1.5000e-001	179.039001	36.430415
 151	1.5100e-001	180.091858	36.518598
 152	1.5200e-001	181.358337	36.597043
 153	1.5300e-001	182.365417	36.665750
 154	1.5400e-001	183.525085	36.736080
 155	1.5500e-001	184.806824	36.726883
 156	1.5600e-001	185.981750	36.892429
 157	1.5700e-001	187.034607	36.949775
 158	1.5800e-001	188.713074	37.041204
 159	1.5900e-001	189.613342	37.096927
 160	1.6000e-001	191.085815	37.174831
 161	1.6100e-001	191.864014	37.247866
 162	1.6200e-001	193.267822	37.288982
 163	1.6300e-001	194.488525	37.367427
 164	1.6400e-001	195.495605	37.447495
 165	1.6500e-001	196.708679	37.537301
 166	1.6600e-001	198.089600	37.588155
 167	1.6700e-001	198.760986	37.660649
 168	1.6800e-001	200.546265	37.708257
 169	1.6900e-001	201.667786	37.783997
 170	1.7000e-001	202.629089	37.897607
 171	1.7100e-001	203.842163	37.895984
 172	1.7200e-001	205.169678	37.952789
 173	1.7300e-001	206.687927	38.039890
 174	1.7400e-001	207.626343	38.105892
 175	1.7500e-001	208.473206	38.149713
 176	1.7600e-001	210.037231	38.233027
 177	1.7700e-001	210.945129	38.262241
 178	1.7800e-001	212.631226	38.348801
 179	1.7900e-001	213.706970	38.405606
 180	1.8000e-001	214.767456	38.446722
 181	1.8100e-001	215.850830	38.532200
 182	1.8200e-001	217.147827	38.589546
 183	1.8300e-001	218.116760	38.644187
 184	1.8400e-001	219.589233	38.718845
 185	1.8500e-001	220.657349	38.764289
 186	1.8600e-001	222.320557	38.828128
 187	1.8700e-001	223.136902	38.881146
 188	1.8800e-001	224.273682	38.947148
 189	1.8900e-001	226.127625	39.039659
 190	1.9000e-001	226.631165	39.073201
 191	1.9100e-001	228.202820	39.152728
 192	1.9200e-001	229.156494	39.182483
 193	1.9300e-001	230.270386	39.231173
 194	1.9400e-001	231.506348	39.291765
 195	1.9500e-001	232.475281	39.368587
 196	1.9600e-001	233.993530	39.425392
 197	1.9700e-001	235.191345	39.474082
