»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 8:58:21
Configured:	05/15/18 08:22:15 PM
Executed:	05/16/18 08:58:01 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.282288	-34.161292
   2	1.0000e-003	6.614685	-33.839292
   3	1.5000e-003	12.413025	-33.566079
   4	2.0000e-003	18.318176	-33.224564
   5	2.5000e-003	24.383545	-32.722049
   6	3.0000e-003	30.181885	-31.956079
   7	3.5000e-003	36.186218	-31.014472
   8	4.0000e-003	42.060852	-29.736229
   9	4.5000e-003	47.904968	-28.184773
  10	5.0000e-003	53.642273	-26.438166
  11	5.5000e-003	59.448242	-24.198801
  12	6.0000e-003	64.796448	-21.769164
  13	6.5000e-003	70.777893	-18.597950
  14	7.0000e-003	76.751709	-15.036433
  15	7.5000e-003	82.656860	-10.845552
  16	8.0000e-003	88.699341	-6.049700
  17	8.5000e-003	93.879700	-0.341515
  18	9.0000e-003	100.028992	6.035064
  19	9.5000e-003	105.491638	12.733644
  20	1.0000e-002	111.595154	20.178678
  21	1.0500e-002	117.134094	27.818864
  22	1.1000e-002	123.596191	35.371232
  23	1.1500e-002	130.668640	41.777084
  24	1.2000e-002	138.214111	44.923904
  25	1.2500e-002	144.119263	45.836238
  26	1.3000e-002	150.245667	46.363147
  27	1.3500e-002	156.578064	46.865663
  28	1.4000e-002	162.277222	47.251087
  29	1.4500e-002	168.426514	47.529178
  30	1.5000e-002	174.591064	47.992663
  31	1.5500e-002	181.190491	48.412239
  32	1.6000e-002	186.424255	48.748876
  33	1.6500e-002	192.306519	49.012331
  34	1.7000e-002	198.356628	49.368482
  35	1.7500e-002	204.338074	49.631937
  36	1.8000e-002	210.433960	49.997846
  37	1.8500e-002	216.514587	50.285695
  38	1.9000e-002	222.267151	50.622331
  39	1.9500e-002	228.431702	50.924816
  40	2.0000e-002	234.260559	51.163877
  41	2.0500e-002	240.539551	51.407817
  42	2.1000e-002	246.315002	51.656635
  43	2.1500e-002	252.609253	51.954241
  44	2.2000e-002	258.544922	52.017666
  45	2.2500e-002	264.617920	52.276241
  46	2.3000e-002	270.462036	52.500666
  47	2.3500e-002	276.435852	52.690939
  48	2.4000e-002	282.478333	52.915363
  49	2.4500e-002	288.208008	53.047090
  50	2.5000e-002	293.983459	53.369091
  51	2.5500e-002	300.346375	53.534969
  52	2.6000e-002	294.143677	53.388606
  53	2.6500e-002	287.818909	53.178818
  54	2.7000e-002	281.600952	53.120272
  55	2.7500e-002	275.917053	53.032454
  56	2.8000e-002	269.752502	52.866575
  57	2.8500e-002	263.793945	52.793393
  58	2.9000e-002	257.774353	52.583605
  59	2.9500e-002	251.731873	52.412848
  60	3.0000e-002	245.742798	52.242090
  61	3.0500e-002	239.784241	52.100605
  62	3.1000e-002	234.077454	51.910332
  63	3.1500e-002	227.714539	51.807878
  64	3.2000e-002	221.710205	51.524908
  65	3.2500e-002	215.843201	51.490756
  66	3.3000e-002	209.815979	51.290726
  67	3.3500e-002	203.849792	51.105332
  68	3.4000e-002	197.738647	50.910180
  69	3.4500e-002	192.047119	50.695513
  70	3.5000e-002	185.905457	50.441816
  71	3.5500e-002	179.893494	50.402786
  72	3.6000e-002	173.751831	50.119816
  73	3.6500e-002	167.510986	49.944180
  74	3.7000e-002	161.628723	49.519725
  75	3.7500e-002	155.906677	49.427028
  76	3.8000e-002	149.719238	49.231876
  77	3.8500e-002	143.692017	49.002573
  78	3.9000e-002	137.557983	48.778149
  79	3.9500e-002	131.698608	48.534209
  80	4.0000e-002	125.694275	48.153663
  81	4.0500e-002	120.063782	47.948754
  82	4.1000e-002	113.838196	47.670663
  83	4.1500e-002	107.666016	47.504784
  84	4.2000e-002	101.875305	47.173026
  85	4.2500e-002	95.710754	46.972996
  86	4.3000e-002	90.202332	46.563178
  87	4.3500e-002	84.175110	46.260693
  88	4.4000e-002	77.026367	45.880147
  89	4.4500e-002	71.487427	45.636207
  90	4.5000e-002	65.612793	45.309328
  91	4.5500e-002	59.928894	44.860480
  92	4.6000e-002	53.764343	44.514086
  93	4.6500e-002	47.584534	44.094510
  94	4.7000e-002	41.831970	43.767631
  95	4.7500e-002	35.774231	43.269994
  96	4.8000e-002	29.777527	42.796751
  97	4.8500e-002	23.872375	42.308872
  98	4.9000e-002	17.761230	41.713660
  99	4.9500e-002	12.054443	40.942811
 100	5.0000e-002	6.164551	40.313447
 101	5.0500e-002	0.396729	39.479174
 102	5.1000e-002	-5.874634	38.274112
 103	5.1500e-002	-11.550903	36.825112
 104	5.2000e-002	-17.326355	34.985808
 105	5.2500e-002	-23.536682	32.507382
 106	5.3000e-002	-28.884888	29.394713
 107	5.3500e-002	-34.507751	25.579499
 108	5.4000e-002	-40.321350	21.003194
 109	5.4500e-002	-45.845032	15.602372
