»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 10:4:40
Configured:	05/15/18 08:22:15 PM
Executed:	05/16/18 10:04:20 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	0.465393	-34.969943
   2	2.0000e-003	1.365662	-35.005710
   3	3.0000e-003	2.517700	-35.072134
   4	4.0000e-003	3.715515	-34.913737
   5	5.0000e-003	4.989624	-34.785998
   6	6.0000e-003	6.225586	-34.969943
   7	7.0000e-003	7.331848	-34.453876
   8	8.0000e-003	8.453369	-34.668478
   9	9.0000e-003	9.620667	-34.550958
  10	1.0000e-002	11.016846	-34.387451
  11	1.1000e-002	12.550354	-34.351684
  12	1.2000e-002	13.496399	-34.295479
  13	1.3000e-002	14.366150	-34.469204
  14	1.4000e-002	15.769958	-34.239273
  15	1.5000e-002	16.906738	-34.183068
  16	1.6000e-002	18.356323	-33.462618
  17	1.7000e-002	19.271851	-33.917370
  18	1.8000e-002	20.591736	-33.861165
  19	1.9000e-002	21.697998	-33.324659
  20	2.0000e-002	23.040771	-33.186701
  21	2.1000e-002	24.070740	-33.171372
  22	2.2000e-002	24.833679	-32.895455
  23	2.3000e-002	26.557922	-32.777934
  24	2.4000e-002	27.717590	-32.445812
  25	2.5000e-002	28.907776	-32.052375
  26	2.6000e-002	29.869080	-31.965512
  27	2.7000e-002	31.257629	-31.612951
  28	2.8000e-002	32.493591	-31.510759
  29	2.9000e-002	33.447266	-31.081555
  30	3.0000e-002	34.843445	-30.647241
  31	3.1000e-002	35.964966	-30.754542
  32	3.2000e-002	37.246704	-30.039201
  33	3.3000e-002	38.482666	-29.609997
  34	3.4000e-002	39.718628	-29.809270
  35	3.5000e-002	40.870667	-28.823122
  36	3.6000e-002	42.053223	-28.480780
  37	3.7000e-002	43.365479	-27.990261
  38	3.8000e-002	44.235229	-26.861045
  39	3.9000e-002	45.692444	-27.218715
  40	4.0000e-002	46.936035	-26.712867
  41	4.1000e-002	48.057556	-26.069060
  42	4.2000e-002	49.194336	-25.455911
  43	4.3000e-002	50.552368	-24.873419
  44	4.4000e-002	51.536560	-24.382900
  45	4.5000e-002	52.665710	-23.897490
  46	4.6000e-002	54.252625	-22.783602
  47	4.7000e-002	55.175781	-22.308412
  48	4.8000e-002	56.304932	-21.720810
  49	4.9000e-002	57.762146	-20.852182
  50	5.0000e-002	58.311462	-20.356553
  51	5.1000e-002	59.959412	-18.992297
  52	5.2000e-002	61.111450	-18.169655
  53	5.3000e-002	62.294006	-17.265260
  54	5.4000e-002	63.560486	-15.957208
  55	5.5000e-002	64.659119	-14.879087
  56	5.6000e-002	66.169739	-13.770309
  57	5.7000e-002	66.986084	-12.589997
  58	5.8000e-002	68.367004	-11.445452
  59	5.9000e-002	70.014954	-9.887031
  60	6.0000e-002	72.128296	-8.292843
  61	6.1000e-002	71.662903	-7.168736
  62	6.2000e-002	73.074341	-5.896451
  63	6.3000e-002	74.325562	-4.067223
  64	6.4000e-002	75.424194	-2.539460
  65	6.5000e-002	76.568604	-0.909505
  66	6.6000e-002	77.674866	0.981039
  67	6.7000e-002	78.964233	2.835815
  68	6.8000e-002	79.521179	4.644605
  69	6.9000e-002	81.398010	6.857052
  70	7.0000e-002	82.527161	8.716938
  71	7.1000e-002	83.702087	10.658577
  72	7.2000e-002	84.930420	12.860805
  73	7.3000e-002	86.181641	15.083470
  74	7.4000e-002	87.341309	17.086424
  75	7.5000e-002	89.591980	20.213485
  76	7.6000e-002	89.691162	21.194524
  77	7.7000e-002	90.904236	23.468286
  78	7.8000e-002	92.010498	25.328172
  79	7.9000e-002	93.391418	27.407769
  80	8.0000e-002	94.635010	29.385175
  81	8.1000e-002	95.802307	30.923158
  82	8.2000e-002	96.984863	32.711510
  83	8.3000e-002	98.274231	34.351684
  84	8.4000e-002	99.601746	35.792585
  85	8.5000e-002	100.639343	35.746598
  86	8.6000e-002	101.928711	38.010141
  87	8.7000e-002	103.340149	39.216001
  88	8.8000e-002	104.347229	39.808712
  89	8.9000e-002	105.529785	40.421861
  90	9.0000e-002	106.567383	40.825518
  91	9.1000e-002	108.055115	41.781009
  92	9.2000e-002	109.222412	42.363500
  93	9.3000e-002	110.328674	42.542335
  94	9.4000e-002	111.648560	42.945992
  95	9.5000e-002	112.785339	43.201471
  96	9.6000e-002	113.586426	43.298553
  97	9.7000e-002	115.341187	43.410963
  98	9.8000e-002	116.348267	43.753305
  99	9.9000e-002	117.591858	43.993455
 100	1.0000e-001	118.972778	44.131414
 101	1.0100e-001	120.086670	44.754782
 102	1.0200e-001	121.093750	44.560618
 103	1.0300e-001	122.489929	44.652591
 104	1.0400e-001	123.748779	44.765001
 105	1.0500e-001	124.092102	45.541657
 106	1.0600e-001	126.022339	45.112452
