»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/30/2018 - 20:20:12
Configured:	07/30/18 08:15:35 PM
Executed:	07/30/18 08:19:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.732422	-36.317717
   2	1.0000e-003	2.731323	-36.210384
   3	1.5000e-003	4.997253	-36.107929
   4	2.0000e-003	8.995056	-36.024990
   5	2.5000e-003	12.084961	-35.834717
   6	3.0000e-003	15.037537	-35.732262
   7	3.5000e-003	17.730713	-35.454171
   8	4.0000e-003	20.858765	-35.146808
   9	4.5000e-003	23.788452	-34.863838
  10	5.0000e-003	26.931763	-34.527201
  11	5.5000e-003	30.174255	-34.132019
  12	6.0000e-003	33.050537	-33.673413
  13	6.5000e-003	35.614014	-33.156261
  14	7.0000e-003	38.658142	-32.473230
  15	7.5000e-003	41.816711	-31.882897
  16	8.0000e-003	44.342041	-31.204745
  17	8.5000e-003	47.500610	-30.316805
  18	9.0000e-003	50.567627	-29.404471
  19	9.5000e-003	53.413391	-28.355531
  20	1.0000e-002	56.594849	-27.228530
  21	1.0500e-002	59.425354	-25.984439
  22	1.1000e-002	62.431335	-24.598862
  23	1.1500e-002	65.414429	-23.066922
  24	1.2000e-002	68.092346	-21.364224
  25	1.2500e-002	71.060181	-19.456617
  26	1.3000e-002	73.959351	-17.231888
  27	1.3500e-002	77.026367	-14.826645
  28	1.4000e-002	79.811096	-12.216492
  29	1.4500e-002	82.885742	-9.308732
  30	1.5000e-002	85.502625	-6.157034
  31	1.5500e-002	88.485718	-2.644305
  32	1.6000e-002	91.377258	1.112364
  33	1.6500e-002	94.314575	5.147124
  34	1.7000e-002	97.000122	9.318490
  35	1.7500e-002	100.296021	13.967978
  36	1.8000e-002	103.164673	18.583313
  37	1.8500e-002	105.941772	23.384043
  38	1.9000e-002	109.107971	28.272592
  39	1.9500e-002	112.182617	32.995261
  40	2.0000e-002	115.356445	37.449597
  41	2.0500e-002	118.469238	41.377023
  42	2.1000e-002	121.627808	44.714116
  43	2.1500e-002	125.457764	46.729057
  44	2.2000e-002	128.974915	47.714572
  45	2.2500e-002	132.148743	48.304906
  46	2.3000e-002	134.780884	48.558603
  47	2.3500e-002	138.023376	48.797664
  48	2.4000e-002	141.090393	49.051361
  49	2.4500e-002	143.882751	49.334331
  50	2.5000e-002	146.842957	49.387997
  51	2.5500e-002	149.871826	49.636816
  52	2.6000e-002	152.778625	49.846604
  53	2.6500e-002	155.929565	49.997846
  54	2.7000e-002	159.027100	50.090543
  55	2.7500e-002	161.735535	50.300331
  56	2.8000e-002	164.970398	50.402786
  57	2.8500e-002	168.022156	50.475968
  58	2.9000e-002	170.860291	50.744301
  59	2.9500e-002	174.118042	50.846756
  60	3.0000e-002	176.788330	50.915059
  61	3.0500e-002	179.809570	51.124847
  62	3.1000e-002	182.945251	51.168756
  63	3.1500e-002	186.065674	51.412696
  64	3.2000e-002	188.835144	51.500514
  65	3.2500e-002	191.574097	51.593211
  66	3.3000e-002	194.931030	51.627362
  67	3.3500e-002	198.150635	51.773726
  68	3.4000e-002	200.790405	51.963999
  69	3.4500e-002	204.010010	52.056696
  70	3.5000e-002	206.779480	52.154272
  71	3.5500e-002	209.907532	52.237211
  72	3.6000e-002	213.119507	52.315272
  73	3.6500e-002	215.660095	52.378696
  74	3.7000e-002	218.856812	52.578726
  75	3.7500e-002	221.870422	52.690939
  76	3.8000e-002	224.761963	52.808030
  77	3.8500e-002	227.943420	52.900727
