»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 9:17:57
Configured:	05/16/18 08:59:02 AM
Executed:	05/16/18 09:00:02 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	1.591367001568e-012	7.67078e+008	6.02463e+009
     2	12.500000	2.899570400501e-009	4.27573e+007	3.35815e+008
     3	25.000000	6.033521608160e-009	4.08813e+007	3.21082e+008
     4	37.500000	1.011603012095e-008	3.65404e+007	2.86989e+008
     5	50.000000	1.566539553623e-008	3.18123e+007	2.49854e+008
     6	62.500000	2.002075286051e-008	3.12633e+007	2.45542e+008
     7	75.000000	2.506452872165e-008	2.98211e+007	2.34215e+008
     8	87.500000	3.503330356580e-008	2.49484e+007	1.95944e+008
     9	100.000000	3.953489260504e-008	2.52706e+007	1.98475e+008
    10	112.500000	4.683999843683e-008	2.40072e+007	1.88552e+008
    11	125.000000	5.653136122891e-008	2.21157e+007	1.73696e+008
    12	137.500000	6.492352504565e-008	2.12382e+007	1.66805e+008
    13	150.000000	7.478819589211e-008	2.00324e+007	1.57334e+008
    14	162.500000	8.719692467467e-008	1.86507e+007	1.46482e+008
    15	175.000000	9.784067741138e-008	1.78936e+007	1.40536e+008
    16	187.500000	1.146680906216e-007	1.63429e+007	1.28357e+008
    17	200.000000	1.288806755839e-007	1.55227e+007	1.21916e+008
    18	212.500000	1.458368852125e-007	1.45675e+007	1.14413e+008
    19	225.000000	1.529455089584e-007	1.47130e+007	1.15556e+008
    20	237.500000	1.766614561306e-007	1.34371e+007	1.05535e+008
    21	250.000000	1.913151918934e-007	1.30670e+007	1.02629e+008
    22	262.500000	2.186312318163e-007	1.19837e+007	9.41200e+007
    23	275.000000	2.318901883420e-007	1.18549e+007	9.31080e+007
    24	287.500000	2.926633709790e-007	9.82222e+006	7.71437e+007
    25	300.000000	2.961410875020e-007	1.01237e+007	7.95116e+007
    26	287.500000	2.918251221311e-007	9.85095e+006	7.73694e+007
    27	275.000000	2.419259415852e-007	1.13710e+007	8.93075e+007
    28	262.500000	2.219457566624e-007	1.18415e+007	9.30033e+007
    29	250.000000	2.053976765495e-007	1.21971e+007	9.57963e+007
