»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 13:5:36
Configured:	05/16/18 12:56:13 PM
Executed:	05/16/18 01:04:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.244141	-23.962887
   2	1.0000e-003	3.303528	-23.803061
   3	1.5000e-003	6.134033	-23.600865
   4	2.0000e-003	9.254456	-23.305348
   5	2.5000e-003	11.985779	-22.884330
   6	3.0000e-003	15.014648	-22.260044
   7	3.5000e-003	17.768860	-21.367057
   8	4.0000e-003	21.263123	-20.142619
   9	4.5000e-003	23.490906	-18.743875
  10	5.0000e-003	26.214600	-16.972918
  11	5.5000e-003	29.067993	-14.859784
  12	6.0000e-003	32.226563	-12.446842
  13	6.5000e-003	34.942627	-9.704595
  14	7.0000e-003	38.108826	-6.671658
  15	7.5000e-003	41.015625	-3.428480
  16	8.0000e-003	44.654846	0.012604
  17	8.5000e-003	47.744751	3.433307
  18	9.0000e-003	50.262451	6.760152
  19	9.5000e-003	53.062439	9.867103
  20	1.0000e-002	56.236267	12.703207
  21	1.0500e-002	59.341431	15.112931
  22	1.1000e-002	62.561035	17.194958
  23	1.1500e-002	65.742493	18.960551
  24	1.2000e-002	68.824768	20.516440
  25	1.2500e-002	71.678162	21.814355
  26	1.3000e-002	74.676514	23.014658
  27	1.3500e-002	77.873230	24.154356
  28	1.4000e-002	80.711365	25.141737
  29	1.4500e-002	83.763123	26.113027
  30	1.5000e-002	86.944580	27.102553
  31	1.5500e-002	90.194702	27.978378
  32	1.6000e-002	92.781067	28.789843
  33	1.6500e-002	95.924377	29.603453
  34	1.7000e-002	99.121094	30.332860
  35	1.7500e-002	101.196289	30.897077
  36	1.8000e-002	105.117798	31.553543
  37	1.8500e-002	108.085632	32.003523
  38	1.9000e-002	111.251831	32.465302
  39	1.9500e-002	114.250183	32.776908
  40	2.0000e-002	117.340088	33.119086
  41	2.0500e-002	119.926453	33.380814
  42	2.1000e-002	123.359680	33.613044
  43	2.1500e-002	126.281738	33.837230
  44	2.2000e-002	129.028320	34.031381
  45	2.2500e-002	132.324219	34.203542
  46	2.3000e-002	134.231567	34.407883
  47	2.3500e-002	139.091492	34.602034
  48	2.4000e-002	141.487122	34.677656
  49	2.4500e-002	144.020081	34.773123
  50	2.5000e-002	147.148132	34.975855
  51	2.5500e-002	150.230408	35.077221
  52	2.6000e-002	153.381348	35.244019
  53	2.6500e-002	156.250000	35.371129
  54	2.7000e-002	159.217834	35.497703
  55	2.7500e-002	162.414551	35.605505
  56	2.8000e-002	165.100098	35.733151
  57	2.8500e-002	167.999268	35.859724
  58	2.9000e-002	171.356201	36.090882
  59	2.9500e-002	174.339294	36.132179
  60	3.0000e-002	177.307129	36.191712
  61	3.0500e-002	180.328369	36.288787
  62	3.1000e-002	183.143616	36.380499
  63	3.1500e-002	186.256409	36.489374
  64	3.2000e-002	189.315796	36.578404
  65	3.2500e-002	191.825867	36.671189
  66	3.3000e-002	194.869995	36.780064
  67	3.3500e-002	198.989868	36.911464
  68	3.4000e-002	201.255798	36.951153
  69	3.4500e-002	204.292297	37.031066
  70	3.5000e-002	206.993103	37.147985
  71	3.5500e-002	210.418701	37.227898
  72	3.6000e-002	213.058472	37.309956
  73	3.6500e-002	216.331482	37.403814
  74	3.7000e-002	218.971252	37.471391
  75	3.7500e-002	222.633362	37.426340
  76	3.8000e-002	225.273132	37.531460
  77	3.8500e-002	228.111267	37.686995
  78	3.9000e-002	230.979919	37.788361
  79	3.9500e-002	234.130859	37.869347
  80	4.0000e-002	237.113953	37.943360
  81	4.0500e-002	240.394592	38.029173
  82	4.1000e-002	243.309021	38.094605
  83	4.1500e-002	246.261597	38.159501
  84	4.2000e-002	249.847412	38.219569
  85	4.2500e-002	252.334595	38.290365
  86	4.3000e-002	254.707336	38.379395
  87	4.3500e-002	258.316040	38.478080
  88	4.4000e-002	261.123657	38.443218
  89	4.4500e-002	264.183044	38.605726
  90	4.5000e-002	267.189026	38.659895
  91	4.5500e-002	270.126343	38.716746
  92	4.6000e-002	273.239136	38.792368
  93	4.6500e-002	276.191711	38.841710
  94	4.7000e-002	279.106140	38.887298
  95	4.7500e-002	282.218933	38.991346
  96	4.8000e-002	285.041809	39.070723
  97	4.8500e-002	288.276672	39.147418
  98	4.9000e-002	291.206360	39.207486
  99	4.9500e-002	293.998718	39.236448
 100	5.0000e-002	297.203064	39.302417
 101	5.0500e-002	300.292969	39.373748
 102	5.1000e-002	296.859741	39.339960
 103	5.1500e-002	293.830872	39.285790
 104	5.2000e-002	291.053772	39.232158
 105	5.2500e-002	286.926270	39.205877
