»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 13:31:12
Configured:	05/16/18 08:59:02 AM
Executed:	05/16/18 01:12:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	2.052774327255e-012	5.20328e+008	4.08665e+009
     2	12.500000	7.964655151782e-010	1.57576e+008	1.23760e+009
     3	25.000000	1.747299169387e-009	1.42999e+008	1.12312e+009
     4	37.500000	2.482825222096e-009	1.49065e+008	1.17076e+009
     5	50.000000	3.641413302044e-009	1.37087e+008	1.07668e+009
     6	62.500000	5.250793552814e-009	1.19320e+008	9.37141e+008
     7	75.000000	5.934524463195e-009	1.26785e+008	9.95772e+008
     8	87.500000	7.351004815671e-009	1.18898e+008	9.33829e+008
     9	100.000000	9.416740501753e-009	1.06030e+008	8.32761e+008
    10	112.500000	1.023991133626e-008	1.09986e+008	8.63833e+008
    11	125.000000	1.354846474731e-008	9.24247e+007	7.25903e+008
    12	137.500000	1.482505122734e-008	9.26589e+007	7.27743e+008
    13	150.000000	1.841545215741e-008	8.13796e+007	6.39155e+008
    14	162.500000	1.946327290973e-008	8.35800e+007	6.56437e+008
    15	175.000000	2.275762898140e-008	7.69120e+007	6.04067e+008
    16	187.500000	2.336811694680e-008	8.02996e+007	6.30673e+008
    17	200.000000	2.533606751545e-008	7.88443e+007	6.19243e+008
    18	212.500000	2.964023831891e-008	7.18506e+007	5.64315e+008
    19	225.000000	3.046670531977e-008	7.38681e+007	5.80160e+008
    20	237.500000	3.512811821069e-008	6.76040e+007	5.30962e+008
    21	250.000000	4.520110672619e-008	5.53033e+007	4.34352e+008
    22	262.500000	4.663178276340e-008	5.62227e+007	4.41573e+008
    23	275.000000	4.553465294108e-008	6.03922e+007	4.74321e+008
    24	287.500000	5.865674225621e-008	4.90410e+007	3.85168e+008
    25	300.000000	6.323255959274e-008	4.74432e+007	3.72619e+008
    26	287.500000	6.512892213219e-008	4.41465e+007	3.46727e+008
    27	275.000000	6.249267774766e-008	4.39651e+007	3.45302e+008
    28	262.500000	4.650902554717e-008	5.64056e+007	4.43009e+008
    29	250.000000	4.198392346033e-008	5.95139e+007	4.67422e+008
    30	237.500000	3.765113249890e-008	6.30475e+007	4.95175e+008
    31	225.000000	3.403170385498e-008	6.61570e+007	5.19597e+008
    32	212.500000	2.723501523110e-008	7.79495e+007	6.12215e+008
    33	200.000000	2.750802075240e-008	7.26911e+007	5.70916e+008
    34	187.500000	2.202897610920e-008	8.51463e+007	6.68739e+008
    35	175.000000	1.768035406271e-008	9.89255e+007	7.76961e+008
    36	162.500000	1.644520887425e-008	9.87657e+007	7.75705e+008
    37	150.000000	1.539129405460e-008	9.74537e+007	7.65402e+008
    38	137.500000	1.059386807573e-008	1.29991e+008	1.02095e+009
    39	125.000000	1.000201716393e-008	1.24929e+008	9.81193e+008
    40	112.500000	7.932961016446e-009	1.41836e+008	1.11398e+009
    41	100.000000	7.184506742253e-009	1.39101e+008	1.09250e+009
    42	87.500000	5.642544933318e-009	1.54642e+008	1.21456e+009
    43	75.000000	4.047385225641e-009	1.85033e+008	1.45325e+009
    44	62.500000	3.500882237150e-009	1.78069e+008	1.39855e+009
    45	50.000000	2.952409938824e-009	1.69674e+008	1.33262e+009
    46	37.500000	2.010868634674e-009	1.86517e+008	1.46490e+009
    47	25.000000	1.345841124652e-009	1.87469e+008	1.47238e+009
    48	12.500000	6.548625830819e-010	1.88736e+008	1.48233e+009
    49	0.000000	1.448050583397e-012	2.21287e+009	1.73799e+010
    50	0.000000	7.100987768703e-013	2.68603e+009	2.10961e+010
    51	-12.500000	7.148394062505e-010	1.71513e+008	1.34706e+009
    52	-25.000000	1.501471738048e-009	1.66361e+008	1.30660e+009
    53	-37.500000	2.551508374319e-009	1.46607e+008	1.15145e+009
    54	-50.000000	3.536137229552e-009	1.40910e+008	1.10670e+009
    55	-62.500000	5.181723528302e-009	1.20366e+008	9.45354e+008
    56	-75.000000	6.280484266168e-009	1.19085e+008	9.35291e+008
    57	-87.500000	6.352955594135e-009	1.37517e+008	1.08006e+009
    58	-100.000000	9.944736284827e-009	1.00631e+008	7.90355e+008
    59	-112.500000	1.109182195168e-008	1.01408e+008	7.96460e+008
    60	-125.000000	1.259786746374e-008	9.90960e+007	7.78300e+008
    61	-137.500000	1.539434424280e-008	8.92769e+007	7.01181e+008
    62	-150.000000	1.653768664720e-008	9.07213e+007	7.12525e+008
    63	-162.500000	1.608848968630e-008	1.01548e+008	7.97560e+008
    64	-175.000000	1.859993029923e-008	9.41701e+007	7.39612e+008
    65	-187.500000	2.341248542333e-008	8.00203e+007	6.28479e+008
    66	-200.000000	2.620329295349e-008	7.63135e+007	5.99366e+008
    67	-212.500000	2.964451950951e-008	7.17116e+007	5.63223e+008
    68	-225.000000	3.350607695387e-008	6.71151e+007	5.27122e+008
    69	-237.500000	3.865433458364e-008	6.15158e+007	4.83145e+008
    70	-250.000000	4.205551325236e-008	5.94307e+007	4.66769e+008
    71	-262.500000	4.738359124116e-008	5.53580e+007	4.34782e+008
    72	-275.000000	5.385479127098e-008	5.11117e+007	4.01431e+008
    73	-287.500000	5.678928630432e-008	5.05959e+007	3.97380e+008
    74	-300.000000	7.021714717797e-008	4.27142e+007	3.35477e+008
    75	-287.500000	5.968698841704e-008	4.81626e+007	3.78269e+008
    76	-275.000000	6.181517731272e-008	4.44704e+007	3.49271e+008
    77	-262.500000	4.932805520247e-008	5.32006e+007	4.17838e+008
    78	-250.000000	5.069817815994e-008	4.93114e+007	3.87292e+008
    79	-237.500000	3.936611482270e-008	6.03396e+007	4.73907e+008
    80	-225.000000	3.348809192307e-008	6.71625e+007	5.27495e+008
    81	-212.500000	3.015421090290e-008	7.04994e+007	5.53702e+008
    82	-200.000000	2.784925847187e-008	7.17621e+007	5.63619e+008
    83	-187.500000	2.493677765948e-008	7.52881e+007	5.91312e+008
    84	-175.000000	2.132081798664e-008	8.20522e+007	6.44438e+008
    85	-162.500000	1.895246782740e-008	8.57923e+007	6.73813e+008
    86	-150.000000	1.668977515495e-008	8.97940e+007	7.05242e+008
    87	-137.500000	1.334631957046e-008	1.02897e+008	8.08150e+008
    88	-125.000000	1.033233841516e-008	1.20846e+008	9.49128e+008
    89	-112.500000	8.470420499204e-009	1.32981e+008	1.04443e+009
    90	-100.000000	6.809510600085e-009	1.47030e+008	1.15478e+009
    91	-87.500000	5.305063178739e-009	1.64623e+008	1.29295e+009
    92	-75.000000	5.079391821436e-009	1.47244e+008	1.15645e+009
    93	-62.500000	4.361493390868e-009	1.44402e+008	1.13413e+009
    94	-50.000000	3.004212405026e-009	1.66316e+008	1.30625e+009
    95	-37.500000	2.085205058884e-009	1.79319e+008	1.40837e+009
    96	-25.000000	1.252668256605e-009	1.99464e+008	1.56659e+009
    97	-12.500000	5.660556920443e-010	2.18212e+008	1.71383e+009
    98	0.000000	1.373670559616e-013	7.77563e+009	6.10698e+010



I/V Version: 5.16.2 - Radiant Technologies, Inc., 2001 - 3/16/18

