»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 9:4:29
Configured:	05/23/18 06:37:56 AM
Executed:	05/23/18 09:04:08 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	0.099182	-41.050339
   2	2.0000e-003	1.022339	-41.208736
   3	3.0000e-003	2.342224	-41.254722
   4	4.0000e-003	3.608704	-41.229174
   5	5.0000e-003	4.577637	-41.673707
   6	6.0000e-003	5.867004	-41.157640
   7	7.0000e-003	7.133484	-41.035010
   8	8.0000e-003	7.324219	-41.622612
   9	9.0000e-003	9.735107	-40.580258
  10	1.0000e-002	10.818481	-40.825518
  11	1.1000e-002	11.878967	-40.687559
  12	1.2000e-002	13.229370	-40.554710
  13	1.3000e-002	14.381409	-40.396313
  14	1.4000e-002	15.571594	-40.524053
  15	1.5000e-002	16.845703	-40.319670
  16	1.6000e-002	17.921448	-40.289012
  17	1.7000e-002	19.073486	-40.171492
  18	1.8000e-002	20.500183	-40.023314
  19	1.9000e-002	21.629333	-40.028424
  20	2.0000e-002	22.789001	-39.829150
  21	2.1000e-002	23.956299	-39.302864
  22	2.2000e-002	25.154114	-39.466370
  23	2.3000e-002	25.604248	-39.670753
  24	2.4000e-002	27.931213	-39.221111
  25	2.5000e-002	28.800964	-38.899207
  26	2.6000e-002	30.044556	-38.868550
  27	2.7000e-002	31.188965	-38.628400
  28	2.8000e-002	32.592773	-38.424017
  29	2.9000e-002	33.515930	-38.173647
  30	3.0000e-002	34.660339	-37.861963
  31	3.1000e-002	35.980225	-37.601375
  32	3.2000e-002	37.094116	-36.860486
  33	3.3000e-002	38.040161	-36.962678
  34	3.4000e-002	39.466858	-36.344419
  35	3.5000e-002	40.725708	-35.685284
  36	3.6000e-002	41.809082	-34.096205
  37	3.7000e-002	42.922974	-34.269931
  38	3.8000e-002	43.228149	-33.723206
  39	3.9000e-002	45.478821	-32.164785
  40	4.0000e-002	46.409607	-30.744323
  41	4.1000e-002	47.637939	-29.737736
  42	4.2000e-002	48.820496	-28.628958
  43	4.3000e-002	50.148010	-26.702648
  44	4.4000e-002	51.094055	-25.256638
