»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 9:3:45
Configured:	05/23/18 06:37:56 AM
Executed:	05/23/18 09:03:19 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.373840	-40.979402
   2	1.0000e-003	3.074646	-40.833038
   3	1.5000e-003	6.294250	-40.603735
   4	2.0000e-003	9.086609	-40.486644
   5	2.5000e-003	12.039185	-40.189038
   6	3.0000e-003	15.441895	-39.993886
   7	3.5000e-003	17.921448	-39.886553
   8	4.0000e-003	21.369934	-39.598704
   9	4.5000e-003	23.948669	-39.315734
  10	5.0000e-003	26.771545	-38.998613
  11	5.5000e-003	29.983521	-38.715643
  12	6.0000e-003	33.088684	-38.315582
  13	6.5000e-003	36.003113	-37.930158
  14	7.0000e-003	38.848877	-37.461794
  15	7.5000e-003	41.725159	-36.773884
  16	8.0000e-003	44.845581	-35.973763
  17	8.5000e-003	47.416687	-34.710156
  18	9.0000e-003	50.559998	-33.427034
  19	9.5000e-003	53.138733	-31.582851
  20	1.0000e-002	56.076050	-29.480092
  21	1.0500e-002	58.944702	-27.099242
  22	1.1000e-002	61.912537	-24.162211
  23	1.1500e-002	64.880371	-21.064178
  24	1.2000e-002	66.543579	-17.692934
  25	1.2500e-002	70.648193	-13.916750
  26	1.3000e-002	73.852539	-10.130809
  27	1.3500e-002	76.675415	-5.969200
  28	1.4000e-002	79.795837	-1.529501
  29	1.4500e-002	82.466125	2.758956
  30	1.5000e-002	85.807800	7.144989
  31	1.5500e-002	88.470459	11.389537
  32	1.6000e-002	91.445923	15.556024
  33	1.6500e-002	94.718933	19.581026
  34	1.7000e-002	97.717285	23.357210
  35	1.7500e-002	101.158142	26.723576
  36	1.8000e-002	104.179382	29.519123
  37	1.8500e-002	107.536316	31.880457
  38	1.9000e-002	110.778809	33.739277
  39	1.9500e-002	113.807678	35.193156
  40	2.0000e-002	116.485596	36.251854
  41	2.0500e-002	119.850159	37.149551
  42	2.1000e-002	122.924805	37.978946
  43	2.1500e-002	125.717163	38.671734
  44	2.2000e-002	128.677368	39.218158
  45	2.2500e-002	131.858826	39.808492
