»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 13:2:48
Configured:	05/23/18 12:21:47 PM
Executed:	05/23/18 12:46:38 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	6.165276958170e-012	9.89982e+007	7.77532e+008
     2	12.500000	1.041462294404e-010	1.19262e+009	9.36681e+009
     3	25.000000	2.387889768925e-010	1.04286e+009	8.19062e+009
     4	37.500000	4.175193479684e-010	8.96846e+008	7.04383e+009
     5	50.000000	5.277029425497e-010	9.46838e+008	7.43646e+009
     6	62.500000	6.291528966390e-010	9.91216e+008	7.78501e+009
     7	75.000000	5.932859459751e-010	1.26834e+009	9.96153e+009
     8	87.500000	6.867235636788e-010	1.27408e+009	1.00066e+010
     9	100.000000	9.315648184820e-010	1.08024e+009	8.48423e+009
    10	112.500000	1.515770976500e-009	7.41965e+008	5.82739e+009
    11	125.000000	2.279463928236e-009	5.49412e+008	4.31508e+009
    12	137.500000	3.126993289553e-009	4.39124e+008	3.44888e+009
    13	150.000000	4.183007897268e-009	3.59473e+008	2.82330e+009
    14	162.500000	5.347802360371e-009	3.03347e+008	2.38248e+009
    15	175.000000	7.289344913636e-009	2.39798e+008	1.88337e+009
    16	187.500000	8.451631203088e-009	2.21598e+008	1.74043e+009
    17	200.000000	1.064006465463e-008	1.87794e+008	1.47493e+009
    18	212.500000	1.293229194294e-008	1.64319e+008	1.29056e+009
    19	225.000000	1.559757869855e-008	1.44448e+008	1.13449e+009
    20	237.500000	1.838653021262e-008	1.29131e+008	1.01419e+009
    21	250.000000	2.210577918947e-008	1.13065e+008	8.88012e+008
    22	262.500000	2.573603430766e-008	1.01922e+008	8.00494e+008
    23	275.000000	2.980320549123e-008	9.22878e+007	7.24829e+008
    24	287.500000	3.457906922399e-008	8.31159e+007	6.52792e+008
    25	300.000000	4.003230795026e-008	7.49631e+007	5.88760e+008
    26	287.500000	3.319019426102e-008	8.65962e+007	6.80127e+008
    27	275.000000	2.728583240688e-008	1.00744e+008	7.91240e+008
    28	262.500000	2.312001649971e-008	1.13517e+008	8.91561e+008
    29	250.000000	1.915773820672e-008	1.30412e+008	1.02426e+009
    30	237.500000	1.574317450109e-008	1.50813e+008	1.18448e+009
    31	225.000000	1.296513579266e-008	1.73700e+008	1.36424e+009
    32	212.500000	1.053535577688e-008	2.01537e+008	1.58287e+009
    33	200.000000	8.418869287123e-009	2.37495e+008	1.86528e+009
    34	187.500000	6.766197022102e-009	2.77226e+008	2.17733e+009
    35	175.000000	5.441590103495e-009	3.21673e+008	2.52642e+009
    36	162.500000	4.119738865451e-009	3.95050e+008	3.10272e+009
    37	150.000000	3.090199411446e-009	4.85386e+008	3.81222e+009
    38	137.500000	2.262479986688e-009	6.06209e+008	4.76117e+009
    39	125.000000	1.678164421326e-009	7.45407e+008	5.85443e+009
