»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 7:4:39
Configured:	06/05/18 05:57:41 AM
Executed:	06/05/18 07:04:13 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	-20.210266	-10.998098
   2	2.0000e-003	-18.989563	-11.022084
   3	3.0000e-003	-17.898560	-10.844585
   4	4.0000e-003	-16.738892	-10.756178
   5	5.0000e-003	-15.144348	-10.643785
   6	6.0000e-003	-14.297485	-10.488901
   7	7.0000e-003	-13.183594	-10.319626
   8	8.0000e-003	-11.848450	-10.094839
   9	9.0000e-003	-10.688782	-9.872794
  10	1.0000e-002	-9.185791	-9.626762
  11	1.1000e-002	-7.881165	-9.289582
  12	1.2000e-002	-7.194519	-9.005858
  13	1.3000e-002	-5.912781	-8.661139
  14	1.4000e-002	-4.936218	-8.264336
  15	1.5000e-002	-3.562927	-7.892204
  16	1.6000e-002	-2.532959	-7.416589
  17	1.7000e-002	-1.159668	-6.985519
  18	1.8000e-002	-0.076294	-6.469469
  19	1.9000e-002	1.419067	-5.969182
  20	2.0000e-002	2.342224	-5.475748
  21	2.1000e-002	3.654480	-4.892536
  22	2.2000e-002	4.783630	-4.331940
  23	2.3000e-002	6.187439	-3.715148
  24	2.4000e-002	7.278442	-3.093558
  25	2.5000e-002	8.445740	-2.467170
  26	2.6000e-002	9.590149	-1.797608
  27	2.7000e-002	10.757446	-1.113653
  28	2.8000e-002	12.283325	-0.440664
  29	2.9000e-002	13.175964	0.271389
  30	3.0000e-002	14.419556	1.014281
  31	3.1000e-002	15.525818	1.790069
  32	3.2000e-002	16.868591	2.575452
  33	3.3000e-002	17.913818	3.388933
  34	3.4000e-002	19.104004	4.209952
  35	3.5000e-002	20.683289	5.062497
  36	3.6000e-002	21.591187	5.909559
  37	3.7000e-002	23.056030	6.816244
  38	3.8000e-002	24.299622	7.696887
  39	3.9000e-002	25.283813	8.603572
  40	4.0000e-002	26.451111	9.503404
  41	4.1000e-002	27.664185	10.462859
  42	4.2000e-002	28.671265	11.420943
  43	4.3000e-002	30.204773	12.400958
  44	4.4000e-002	31.372070	13.384400
  45	4.5000e-002	32.173157	14.341799
  46	4.6000e-002	33.943176	15.342374
  47	4.7000e-002	35.125732	16.362137
  48	4.8000e-002	35.682678	17.357915
  49	4.9000e-002	37.170410	18.342042
  50	5.0000e-002	38.444519	19.343302
  51	5.1000e-002	39.497375	20.347303
  52	5.2000e-002	40.809631	21.322521
  53	5.3000e-002	41.992188	22.310074
  54	5.4000e-002	43.029785	23.264047
  55	5.5000e-002	44.670105	24.156340
  56	5.6000e-002	45.501709	25.050004
  57	5.7000e-002	46.676636	25.906661
  58	5.8000e-002	48.141479	26.679707
  59	5.9000e-002	49.377441	27.415747
  60	6.0000e-002	50.239563	28.099016
  61	6.1000e-002	51.605225	28.716494
  62	6.2000e-002	52.940369	29.242823
  63	6.3000e-002	54.115295	29.747223
  64	6.4000e-002	55.473328	30.159788
  65	6.5000e-002	56.526184	30.492171
  66	6.6000e-002	57.197571	30.790973
  67	6.7000e-002	58.891296	31.145286
  68	6.8000e-002	60.310364	31.346086
  69	6.9000e-002	61.500549	31.590062
  70	7.0000e-002	62.652588	31.784694
  71	7.1000e-002	63.903809	31.980697
  72	7.2000e-002	65.002441	32.163679
  73	7.3000e-002	66.070557	32.308968
  74	7.4000e-002	67.466736	32.474131
  75	7.5000e-002	68.794250	32.577615
  76	7.6000e-002	69.915771	32.708512
  77	7.7000e-002	71.258545	32.838039
  78	7.8000e-002	72.181702	32.961397
  79	7.9000e-002	73.463440	33.045692
  80	8.0000e-002	74.951172	33.184128
  81	8.1000e-002	75.836182	33.241010
  82	8.2000e-002	77.117920	33.367795
  83	8.3000e-002	78.269958	33.441125
  84	8.4000e-002	79.193115	33.562428
  85	8.5000e-002	80.421448	33.647408
  86	8.6000e-002	81.970215	33.684415
  87	8.7000e-002	82.977295	33.763228
  88	8.8000e-002	84.167480	33.820110
  89	8.9000e-002	85.533142	33.913999
  90	9.0000e-002	86.563110	33.981847
  91	9.1000e-002	87.905884	34.050379
  92	9.2000e-002	88.874817	34.106576
  93	9.3000e-002	89.889526	34.194297
  94	9.4000e-002	91.392517	34.230620
  95	9.5000e-002	92.346191	34.314229
  96	9.6000e-002	93.620300	34.360831
  97	9.7000e-002	95.008850	34.401951
  98	9.8000e-002	96.214294	34.454721
  99	9.9000e-002	97.511292	34.534219
 100	1.0000e-001	98.678589	34.593157
 101	1.0100e-001	99.906921	34.631535
 102	1.0200e-001	100.921631	34.676081
 103	1.0300e-001	102.317810	34.764488
 104	1.0400e-001	103.408813	34.787104
 105	1.0500e-001	104.621887	34.832335
 106	1.0600e-001	106.033325	34.871399
 107	1.0700e-001	106.658936	34.911147
 108	1.0800e-001	108.329773	34.962547
 109	1.0900e-001	109.733582	34.995442
 110	1.1000e-001	110.816956	34.994757
 111	1.1100e-001	111.747742	35.089332
 112	1.1200e-001	112.686157	35.115374
 113	1.1300e-001	114.273071	35.145529
 114	1.1400e-001	115.119934	35.201725
