»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/23/2018 - 17:30:52
Configured:	07/23/18 05:27:40 PM
Executed:	07/23/18 05:30:35 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	-0.068665	-22.291913
   2	2.0000e-003	1.213074	-22.249423
   3	3.0000e-003	2.410889	-22.204192
   4	4.0000e-003	3.509521	-22.143198
   5	5.0000e-003	4.814148	-22.087001
   6	6.0000e-003	6.034851	-22.023266
   7	7.0000e-003	7.156372	-21.956104
   8	8.0000e-003	8.285522	-21.910872
   9	9.0000e-003	9.391785	-21.853990
  10	1.0000e-002	10.963440	-21.766269
  11	1.1000e-002	12.161255	-21.692939
  12	1.2000e-002	13.168335	-21.597679
  13	1.3000e-002	14.381409	-21.482544
  14	1.4000e-002	15.663147	-21.356444
  15	1.5000e-002	16.815186	-21.227603
  16	1.6000e-002	18.089294	-21.075461
  17	1.7000e-002	19.012451	-20.910983
  18	1.8000e-002	20.439148	-20.747190
  19	1.9000e-002	21.461487	-20.522404
  20	2.0000e-002	22.804260	-20.278428
  21	2.1000e-002	23.826599	-20.044047
  22	2.2000e-002	25.115967	-19.769231
  23	2.3000e-002	26.283264	-19.461520
  24	2.4000e-002	27.328491	-19.121599
  25	2.5000e-002	28.724670	-18.766601
  26	2.6000e-002	29.960632	-18.365686
  27	2.7000e-002	31.326294	-17.933245
  28	2.8000e-002	32.241821	-17.481616
  29	2.9000e-002	33.645630	-16.953230
  30	3.0000e-002	34.530640	-16.389893
  31	3.1000e-002	35.972595	-15.792975
  32	3.2000e-002	37.315369	-15.160420
  33	3.3000e-002	37.956238	-14.510732
  34	3.4000e-002	39.260864	-13.788399
  35	3.5000e-002	40.550232	-13.040024
  36	3.6000e-002	41.580200	-12.267662
  37	3.7000e-002	42.823792	-11.441846
  38	3.8000e-002	44.219971	-10.598210
  39	3.9000e-002	45.234680	-9.711400
  40	4.0000e-002	46.539307	-8.804029
  41	4.1000e-002	47.843933	-7.871302
  42	4.2000e-002	48.896790	-6.889231
  43	4.3000e-002	50.102234	-5.892083
  44	4.4000e-002	51.506042	-4.905215
  45	4.5000e-002	52.467346	-3.898472
  46	4.6000e-002	53.855896	-2.840330
  47	4.7000e-002	55.053711	-1.822622
  48	4.8000e-002	56.289673	-0.824789
  49	4.9000e-002	57.380676	0.170989
  50	5.0000e-002	58.509827	1.148262
  51	5.1000e-002	59.455872	2.098808
  52	5.2000e-002	61.195374	2.993158
  53	5.3000e-002	62.049866	3.847758
  54	5.4000e-002	63.125610	4.649588
  55	5.5000e-002	64.460754	5.386998
  56	5.6000e-002	65.803528	6.076435
  57	5.7000e-002	66.856384	6.710361
  58	5.8000e-002	68.412781	7.294258
  59	5.9000e-002	69.541931	7.825385
  60	6.0000e-002	70.724487	8.299630
  61	6.1000e-002	71.861267	8.801288
  62	6.2000e-002	72.937012	9.225504
  63	6.3000e-002	74.424744	9.630531
  64	6.4000e-002	75.355530	10.065713
  65	6.5000e-002	76.637268	10.466628
  66	6.6000e-002	77.812195	10.882620
  67	6.7000e-002	79.048157	11.277368
  68	6.8000e-002	80.093384	11.660464
  69	6.9000e-002	81.398010	12.071660
  70	7.0000e-002	82.481384	12.498617
  71	7.1000e-002	83.930969	12.902274
  72	7.2000e-002	84.869385	13.323063
  73	7.3000e-002	86.402893	13.762357
  74	7.4000e-002	87.333679	14.199594
  75	7.5000e-002	88.745117	14.638887
  76	7.6000e-002	89.958191	15.116559
  77	7.7000e-002	90.904236	15.596972
  78	7.8000e-002	91.972351	16.058881
  79	7.9000e-002	93.460083	16.544777
  80	8.0000e-002	94.429016	17.070421
  81	8.1000e-002	95.596313	17.610457
  82	8.2000e-002	97.129822	18.124451
  83	8.3000e-002	98.274231	18.640501
  84	8.4000e-002	99.403381	19.203838
  85	8.5000e-002	100.738525	19.767175
  86	8.6000e-002	101.913452	20.333254
  87	8.7000e-002	102.958679	20.931543
  88	8.8000e-002	104.263306	21.512699
  89	8.9000e-002	105.308533	22.110987
  90	9.0000e-002	106.887817	22.716129
  91	9.1000e-002	107.826233	23.331551
  92	9.2000e-002	109.138489	23.940805
  93	9.3000e-002	110.527039	24.574046
  94	9.4000e-002	111.511230	25.203174
  95	9.5000e-002	112.747192	25.836415
  96	9.6000e-002	114.059448	26.504607
  97	9.7000e-002	115.043640	27.155666
  98	9.8000e-002	116.462708	27.806039
  99	9.9000e-002	117.675781	28.468063
 100	1.0000e-001	118.766785	29.125290
 101	1.0100e-001	119.796753	29.766069
 102	1.0200e-001	121.063232	30.417128
 103	1.0300e-001	122.489929	31.060648
 104	1.0400e-001	123.535156	31.708280
 105	1.0500e-001	124.877930	32.331241
 106	1.0600e-001	125.946045	32.950090
 107	1.0700e-001	127.052307	33.572365
 108	1.0800e-001	128.257751	34.170654
 109	1.0900e-001	129.478455	34.768943
 110	1.1000e-001	130.790710	35.348042
 111	1.1100e-001	131.782532	35.931254
 112	1.1200e-001	133.140564	36.469234
 113	1.1300e-001	134.353638	37.028459
 114	1.1400e-001	135.147095	37.596594
 115	1.1500e-001	136.795044	38.103049
 116	1.1600e-001	137.924194	38.615672
 117	1.1700e-001	139.114380	39.104995
 118	1.1800e-001	140.419006	39.583352
 119	1.1900e-001	141.731262	40.055541
 120	1.2000e-001	142.822266	40.509226
 121	1.2100e-001	143.836975	40.943037
 122	1.2200e-001	145.233154	41.343952
 123	1.2300e-001	146.591187	41.720195
 124	1.2400e-001	147.583008	42.120425
 125	1.2500e-001	148.712158	42.487074
 126	1.2600e-001	149.780273	42.840702
 127	1.2700e-001	151.084900	43.167602
 128	1.2800e-001	152.214050	43.495873
 129	1.2900e-001	153.343201	43.804954
 130	1.3000e-001	154.907227	44.087308
 131	1.3100e-001	155.776978	44.371718
 132	1.3200e-001	157.058716	44.644478
 133	1.3300e-001	158.279419	44.911069
 134	1.3400e-001	159.576416	45.150248
 135	1.3500e-001	160.583496	45.366810
 136	1.3600e-001	161.979675	45.600506
 137	1.3700e-001	163.009644	45.817069
 138	1.3800e-001	164.314270	45.988400
 139	1.3900e-001	165.626526	46.193998
 140	1.4000e-001	166.847229	46.374924
 141	1.4100e-001	167.938232	46.551737
 142	1.4200e-001	169.242859	46.699768
 143	1.4300e-001	170.158386	46.872470
 144	1.4400e-001	171.539307	47.020500
 145	1.4500e-001	172.836304	47.168530
 146	1.4600e-001	174.079895	47.325470
 147	1.4700e-001	175.132751	47.454311
 148	1.4800e-001	176.467896	47.596173
 149	1.4900e-001	177.566528	47.750371
 150	1.5000e-001	178.512573	47.853855
 151	1.5100e-001	180.297852	47.966249
 152	1.5200e-001	181.159973	48.093719
 153	1.5300e-001	182.357788	48.191721
 154	1.5400e-001	183.486938	48.306855
 155	1.5500e-001	184.577942	48.416507
 156	1.5600e-001	185.760498	48.528900
 157	1.5700e-001	187.126160	48.618678
 158	1.5800e-001	188.232422	48.730386
 159	1.5900e-001	189.537048	48.824276
 160	1.6000e-001	190.803528	48.921592
 161	1.6100e-001	191.757202	49.031244
 162	1.6200e-001	193.222046	49.103203
 163	1.6300e-001	194.404602	49.216967
 164	1.6400e-001	195.404053	49.304689
 165	1.6500e-001	196.723938	49.388984
 166	1.6600e-001	198.059082	49.492468
 167	1.6700e-001	199.150085	49.564427
 168	1.6800e-001	200.248718	49.656946
 169	1.6900e-001	201.545715	49.758374
 170	1.7000e-001	202.766418	49.826906
 171	1.7100e-001	203.819275	49.913943
 172	1.7200e-001	205.017090	49.981104
 173	1.7300e-001	206.321716	50.078421
 174	1.7400e-001	207.313538	50.157233
 175	1.7500e-001	208.908081	50.219598
 176	1.7600e-001	210.090637	50.331306
 177	1.7700e-001	210.853577	50.379278
 178	1.7800e-001	212.440491	50.480021
 179	1.7900e-001	213.691711	50.540330
 180	1.8000e-001	214.721680	50.604750
 181	1.8100e-001	215.721130	50.696584
 182	1.8200e-001	217.170715	50.765802
 183	1.8300e-001	218.231201	50.827481
 184	1.8400e-001	219.535828	50.903552
 185	1.8500e-001	220.764160	50.986476
 186	1.8600e-001	221.565247	51.044044
 187	1.8700e-001	223.030090	51.148213
 188	1.8800e-001	224.510193	51.197557
 189	1.8900e-001	225.593567	51.257865
 190	1.9000e-001	226.875305	51.319544
 191	1.9100e-001	228.225708	51.391504
 192	1.9200e-001	229.240417	51.450441
 193	1.9300e-001	230.216980	51.520345
 194	1.9400e-001	231.628418	51.599842
 195	1.9500e-001	232.666016	51.637535
 196	1.9600e-001	233.871460	51.712236
 197	1.9700e-001	235.206604	51.778027
 198	1.9800e-001	236.320496	51.843133
 199	1.9900e-001	237.556458	51.915777
 200	2.0000e-001	238.800049	51.958267
 201	2.0100e-001	239.982605	52.017891
 202	2.0200e-001	240.921021	52.086423
 203	2.0300e-001	242.332458	52.138508
 204	2.0400e-001	243.537903	52.194705
 205	2.0500e-001	244.544983	52.247475
 206	2.0600e-001	246.070862	52.307098
 207	2.0700e-001	246.818542	52.380428
 208	2.0800e-001	248.176575	52.427715
 209	2.0900e-001	249.626160	52.489394
 210	2.1000e-001	250.495911	52.541479
 211	2.1100e-001	252.037048	52.604529
 212	2.1200e-001	253.364563	52.670320
 213	2.1300e-001	254.272461	52.717608
 214	2.1400e-001	255.371094	52.762839
 215	2.1500e-001	256.851196	52.820406
 216	2.1600e-001	257.972717	52.886198
 217	2.1700e-001	259.056091	52.936912
 218	2.1800e-001	260.231018	52.965010
 219	2.1900e-001	261.711121	53.033543
 220	2.2000e-001	262.962341	53.079459
 221	2.2100e-001	263.931274	53.138397
 222	2.2200e-001	265.098572	53.193223
 223	2.2300e-001	266.433716	53.245308
 224	2.2400e-001	267.387390	53.291225
 225	2.2500e-001	268.562317	53.344680
 226	2.2600e-001	269.950867	53.395394
 227	2.2700e-001	271.110535	53.446794
 228	2.2800e-001	272.636414	53.520123
 229	2.2900e-001	273.612976	53.546166
 230	2.3000e-001	274.818420	53.602362
 231	2.3100e-001	275.894165	53.644853
 232	2.3200e-001	277.114868	53.703105
 233	2.3300e-001	278.358459	53.750393
 234	2.3400e-001	279.571533	53.785344
 235	2.3500e-001	280.822754	53.851821
 236	2.3600e-001	282.028198	53.878548
 237	2.3700e-001	283.096313	53.932004
 238	2.3800e-001	284.393311	53.977235
 239	2.3900e-001	285.781860	54.008075
 240	2.4000e-001	286.636353	54.092370
 241	2.4100e-001	287.818909	54.116356
 242	2.4200e-001	289.466858	54.177350
 243	2.4300e-001	290.367126	54.199966
 244	2.4400e-001	291.503906	54.252051
 245	2.4500e-001	292.716980	54.304135
 246	2.4600e-001	293.670654	54.336346
 247	2.4700e-001	295.127869	54.374039
 248	2.4800e-001	296.272278	54.430920
 249	2.4900e-001	297.767639	54.452166
 250	2.5000e-001	298.576355	54.514530
 251	2.5100e-001	300.117493	54.559076
 252	2.5200e-001	298.706055	54.539887
 253	2.5300e-001	297.416687	54.519327
 254	2.5400e-001	296.546936	54.493285
 255	2.5500e-001	295.158386	54.477523
 256	2.5600e-001	293.914795	54.453536
 257	2.5700e-001	292.610168	54.419270
 258	2.5800e-001	291.542053	54.370612
 259	2.5900e-001	290.168762	54.363759
 260	2.6000e-001	289.375305	54.356220
 261	2.6100e-001	287.963867	54.278778
 262	2.6200e-001	286.720276	54.271240
 263	2.6300e-001	285.499573	54.249995
 264	2.6400e-001	284.309387	54.232176
 265	2.6500e-001	282.951355	54.195169
 266	2.6600e-001	282.012939	54.158846
 267	2.6700e-001	280.708313	54.138287
 268	2.6800e-001	279.541016	54.084831
 269	2.6900e-001	278.297424	54.070439
 270	2.7000e-001	277.236938	54.034803
 271	2.7100e-001	276.031494	54.016984
 272	2.7200e-001	274.665833	53.988200
 273	2.7300e-001	273.643494	53.955305
 274	2.7400e-001	272.224426	53.923095
 275	2.7500e-001	271.308899	53.884031
 276	2.7600e-001	269.950867	53.854562
 277	2.7700e-001	268.653870	53.799736
 278	2.7800e-001	267.433167	53.816184
 279	2.7900e-001	266.265869	53.768211
 280	2.8000e-001	265.480042	53.736686
 281	2.8100e-001	263.610840	53.698308
 282	2.8200e-001	262.695313	53.675007
 283	2.8300e-001	261.627197	53.644853
 284	2.8400e-001	260.421753	53.600306
 285	2.8500e-001	259.185791	53.567411
 286	2.8600e-001	257.781982	53.540683
 287	2.8700e-001	256.706238	53.513955
 288	2.8800e-001	255.371094	53.452276
 289	2.8900e-001	254.356384	53.446794
 290	2.9000e-001	253.395081	53.405674
 291	2.9100e-001	251.953125	53.370037
 292	2.9200e-001	250.610352	53.328918
 293	2.9300e-001	249.557495	53.294651
 294	2.9400e-001	248.367310	53.272721
 295	2.9500e-001	246.879578	53.240511
 296	2.9600e-001	246.261597	53.225434
 297	2.9700e-001	244.773865	53.167866
 298	2.9800e-001	243.392944	53.118523
 299	2.9900e-001	242.301941	53.086313
 300	3.0000e-001	241.195679	53.057529
 301	3.0100e-001	239.936829	53.021207
 302	3.0200e-001	238.723755	52.985570
 303	3.0300e-001	237.434387	52.945821
 304	3.0400e-001	236.282349	52.917723
 305	3.0500e-001	235.115051	52.864953
 306	3.0600e-001	233.940125	52.838225
 307	3.0700e-001	232.788086	52.792993
 308	3.0800e-001	231.613159	52.773119
 309	3.0900e-001	230.209351	52.730629
 310	3.1000e-001	229.141235	52.703216
 311	3.1100e-001	227.699280	52.644278
 312	3.1200e-001	226.799011	52.620291
 313	3.1300e-001	225.379944	52.587396
 314	3.1400e-001	224.403381	52.560668
 315	3.1500e-001	223.106384	52.504472
 316	3.1600e-001	221.977234	52.493506
 317	3.1700e-001	220.787048	52.436624
 318	3.1800e-001	219.665527	52.384540
 319	3.1900e-001	218.315125	52.356441
 320	3.2000e-001	217.185974	52.304357
 321	3.2100e-001	215.812683	52.275573
 322	3.2200e-001	214.790344	52.235139
 323	3.2300e-001	213.424683	52.204984
 324	3.2400e-001	212.608337	52.146732
 325	3.2500e-001	211.326599	52.122745
 326	3.2600e-001	210.029602	52.068605
 327	3.2700e-001	208.793640	52.039821
 328	3.2800e-001	207.359314	51.989107
 329	3.2900e-001	206.245422	51.956897
 330	3.3000e-001	205.307007	51.917833
 331	3.3100e-001	204.002380	51.877399
 332	3.3200e-001	202.415466	51.830112
 333	3.3300e-001	201.622009	51.830797
 334	3.3400e-001	200.340271	51.747187
 335	3.3500e-001	199.043274	51.726628
 336	3.3600e-001	198.204041	51.682081
 337	3.3700e-001	196.960449	51.625199
 338	3.3800e-001	195.533752	51.577912
 339	3.3900e-001	194.427490	51.541590
 340	3.4000e-001	193.275452	51.514177
 341	3.4100e-001	192.153931	51.457980
 342	3.4200e-001	190.849304	51.415490
 343	3.4300e-001	189.720154	51.375741
 344	3.4400e-001	188.407898	51.313376
 345	3.4500e-001	186.714172	51.286649
 346	3.4600e-001	186.180115	51.235249
 347	3.4700e-001	184.944153	51.194130
 348	3.4800e-001	183.624268	51.151640
 349	3.4900e-001	182.411194	51.095443
 350	3.5000e-001	181.236267	51.082422
 351	3.5100e-001	179.878235	51.024169
 352	3.5200e-001	178.749084	50.956322
 353	3.5300e-001	177.703857	50.950839
 354	3.5400e-001	176.391602	50.889846
 355	3.5500e-001	175.132751	50.839131
 356	3.5600e-001	173.889160	50.761004
 357	3.5700e-001	172.607422	50.742501
 358	3.5800e-001	171.455383	50.713717
 359	3.5900e-001	170.501709	50.654094
 360	3.6000e-001	169.151306	50.594470
 361	3.6100e-001	167.877197	50.556778
 362	3.6200e-001	166.717529	50.517029
 363	3.6300e-001	165.390015	50.460832
 364	3.6400e-001	164.375305	50.409433
 365	3.6500e-001	162.910461	50.369684
 366	3.6600e-001	162.261963	50.311431
 367	3.6700e-001	160.774231	50.266200
 368	3.6800e-001	159.545898	50.218912
 369	3.6900e-001	158.210754	50.170254
 370	3.7000e-001	157.356262	50.109946
 371	3.7100e-001	155.937195	50.079791
 372	3.7200e-001	155.067444	50.006461
 373	3.7300e-001	153.732300	49.966713
 374	3.7400e-001	152.221680	49.908460
 375	3.7500e-001	151.062012	49.858431
 376	3.7600e-001	150.344849	49.808402
 377	3.7700e-001	148.574829	49.776192
 378	3.7800e-001	147.483826	49.708345
 379	3.7900e-001	146.347046	49.637757
 380	3.8000e-001	145.126343	49.582245
 381	3.8100e-001	143.928528	49.542496
 382	3.8200e-001	142.791748	49.495894
 383	3.8300e-001	141.403198	49.445865
 384	3.8400e-001	140.312195	49.388298
 385	3.8500e-001	139.038086	49.345123
 386	3.8600e-001	137.893677	49.287555
 387	3.8700e-001	136.749268	49.191610
 388	3.8800e-001	135.643005	49.175847
 389	3.8900e-001	134.490967	49.094979
 390	3.9000e-001	133.247375	49.048377
 391	3.9100e-001	131.942749	48.999719
 392	3.9200e-001	130.851746	48.923648
 393	3.9300e-001	129.791260	48.879787
